Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. 65 anys o més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. 65 anys o més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. 65 anys o més
170849,Isòvol,18,107,28,13,86,24,31,193,52,
251137,Ivars d'Urgell,99,540,187,109,400,243,208,940,430,
251121,Ivars de Noguera,16,125,40,21,99,50,37,224,90,
251142,Ivorra,7,36,18,2,27,24,9,63,42,
170852,Jafre,27,134,46,21,103,55,48,237,101,
170865,"Jonquera, la",305,1124,203,269,1071,259,574,2195,462,
081038,Jorba,79,275,52,69,292,64,148,567,116,
259101,Josa i Tuixén,5,48,18,3,32,16,8,80,34,
170871,Juià,41,102,27,26,101,30,67,203,57,
251180,Juncosa,11,154,61,23,105,64,34,259,125,
251193,Juneda,261,1134,335,231,962,420,492,2096,755,
251214,Les,71,344,54,81,336,72,152,680,126,
251229,Linyola,194,888,248,213,804,303,407,1692,551,
081043,"Llacuna, la",55,323,96,43,228,127,98,551,223,
170887,Lladó,77,240,56,81,239,59,158,479,115,
251235,Lladorre,10,80,17,20,72,27,30,152,44,
251240,Lladurs,4,65,31,11,51,25,15,116,56,
081056,"Llagosta, la",1137,4322,1069,1106,4241,1372,2243,8563,2441,
170890,Llagostera,748,2886,594,704,2538,796,1452,5424,1390,
170904,Llambilles,78,232,56,68,226,63,146,458,119,
170911,Llanars,32,177,61,37,147,60,69,324,121,
170926,Llançà,345,1632,476,332,1553,596,677,3185,1072,
251253,Llardecans,22,148,78,20,115,93,42,263,171,
251266,Llavorsí,22,115,38,19,123,38,41,238,76,
251207,Lleida,11075,47484,9725,10650,45435,13775,21725,92919,23500,
170932,Llers,89,401,115,87,382,136,176,783,251,
251272,Lles de Cerdanya,12,93,39,13,62,28,25,155,67,
081075,Lliçà d'Amunt,1319,5105,1133,1213,4811,1178,2532,9916,2311,
081081,Lliçà de Vall,534,2147,558,475,2095,561,1009,4242,1119,
251288,Llimiana,6,52,30,3,37,22,9,89,52,
