Codi,Literal,De propietat. Per compra pagada,De propietat. Per compra amb pagaments pendents,De propietat. Per herència o donació,De lloguer,Cedit gratis o a baix preu,Altres formes,Total
080832,Folgueroles,218,210,63,57,28,8,584
250931,Fondarella,99,52,44,1,5,9,210
080847,Fonollosa,73,96,93,13,14,61,350
170694,Fontanals de Cerdanya,52,32,20,22,23,5,154
170708,Fontanilles,10,4,20,4,1,7,46
170715,Fontcoberta,242,73,5,20,1,3,344
080850,Font-rubí,115,59,181,38,4,28,425
250946,Foradada,17,4,29,2,5,11,68
179026,Forallac,262,75,67,68,26,63,561
430614,Forès,11,1,12,0,1,1,26
170736,Fornells de la Selva,226,174,44,32,11,28,515
170741,Fortià,91,35,35,13,8,12,194
080863,"Franqueses del Vallès, les",1762,1765,114,582,75,122,4420
430629,Freginals,35,12,63,10,6,10,136
250962,"Fuliola, la",217,48,110,15,10,17,417
250978,Fulleda,21,1,14,1,0,2,39
080902,Gaià,25,0,4,14,3,1,47
430635,"Galera, la",46,12,168,25,14,21,286
080879,Gallifa,23,7,17,7,7,6,67
430640,Gandesa,316,119,288,92,42,40,897
430653,Garcia,51,18,108,11,8,5,201
430666,"Garidells, els",29,8,16,3,1,0,57
080885,"Garriga, la",1569,1526,239,627,83,136,4180
170754,Garrigàs,39,9,26,16,2,20,112
170767,Garrigoles,11,8,26,7,2,4,58
170773,Garriguella,79,39,87,36,9,20,270
080898,Gavà,6758,4737,611,1193,149,342,13790
250984,Gavet de la Conca,24,5,66,3,1,17,116
080919,Gelida,506,444,211,364,29,107,1661
170789,Ger,67,38,26,10,3,7,151
259123,Gimenells i el Pla de la Font,196,63,53,4,21,17,354
430672,Ginestar,75,12,170,15,0,20,292
170792,Girona,11831,9530,784,4289,306,949,27689
080924,Gironella,839,232,132,470,37,88,1798
080930,Gisclareny,4,3,3,2,1,1,14
430688,Godall,57,22,142,17,18,23,279
250997,Golmés,121,65,204,31,15,10,446
170806,Gombrèn,30,8,24,21,2,7,92
251001,Gósol,23,1,50,12,1,8,95
080945,"Granada, la",195,127,79,35,6,29,471
251018,"Granadella, la",85,29,145,17,8,3,287
080958,Granera,15,4,2,2,4,5,32
251023,"Granja d'Escarp, la",200,41,98,21,6,20,386
080961,Granollers,8784,6082,693,2488,228,363,18638
251039,Granyanella,15,7,25,2,3,2,54
251057,Granyena de les Garrigues,19,3,39,0,5,4,70
251044,Granyena de Segarra,12,2,38,2,3,1,58
430691,Gratallops,30,10,19,4,2,16,81
080977,Gualba,111,84,20,63,19,11,308
170813,Gualta,51,10,12,19,8,4,104
080996,Guardiola de Berguedà,127,81,33,83,25,25,374
430705,"Guiamets, els",49,4,42,7,2,3,107
170828,Guils de Cerdanya,54,18,16,31,5,12,136
251095,Guimerà,51,8,71,9,1,11,151
259031,"Guingueta d'Àneu, la",33,21,62,12,7,8,143
251109,Guissona,417,310,165,260,36,40,1228
251116,Guixers,22,1,7,26,0,1,57
081000,Gurb,358,92,45,38,53,13,599
430712,Horta de Sant Joan,199,26,168,23,11,34,461
081017,"Hospitalet de Llobregat, l'",50795,18320,2263,14270,760,1464,87872
081629,"Hostalets de Pierola, els",188,167,80,67,13,30,545
170834,Hostalric,474,216,100,174,45,32,1041
081022,Igualada,5604,2962,488,2337,229,280,11900
251155,Isona i Conca Dellà,159,23,168,32,14,42,438
170849,Isòvol,27,11,20,14,3,2,77
251137,Ivars d'Urgell,214,65,207,32,50,7,575
251121,Ivars de Noguera,33,5,44,4,1,25,112
251142,Ivorra,8,0,31,5,4,2,50
170852,Jafre,78,9,18,8,11,6,130
170865,"Jonquera, la",410,162,67,232,29,26,926
081038,Jorba,74,53,36,27,6,18,214
259101,Josa i Tuixén,42,3,7,4,1,2,59
170871,Juià,34,13,24,13,3,10,97
251180,Juncosa,60,1,114,10,6,6,197
251193,Juneda,377,117,334,77,28,47,980
251214,Les,51,53,67,48,27,6,252
251229,Linyola,409,133,154,35,47,25,803
081043,"Llacuna, la",97,32,96,58,21,13,317
170887,Lladó,61,26,59,27,6,11,190
251235,Lladorre,25,10,43,7,5,4,94
251240,Lladurs,3,1,27,10,10,16,67
081056,"Llagosta, la",2206,1472,93,347,25,61,4204
170890,Llagostera,1665,742,351,388,76,277,3499
170904,Llambilles,55,24,8,16,1,3,107
170911,Llanars,71,44,30,36,14,5,200
170926,Llançà,795,352,115,168,62,115,1607
251253,Llardecans,56,7,138,6,9,8,224
251266,Llavorsí,78,7,11,13,5,10,124
251207,Lleida,18990,13232,1355,5499,567,803,40446
170932,Llers,147,77,61,31,6,31,353
251272,Lles de Cerdanya,18,4,53,22,3,6,106
081075,Lliçà d'Amunt,1530,1530,81,151,43,63,3398
081081,Lliçà de Vall,717,753,73,34,28,86,1691
251288,Llimiana,13,4,39,3,1,4,64
081069,Llinars del Vallès,783,899,133,474,30,161,2480
170947,Llívia,159,83,55,82,33,11,423
430727,"Lloar, el",26,0,14,1,3,4,48
251291,Llobera,7,1,23,3,6,15,55
430733,Llorac,12,2,20,2,4,5,45
430748,Llorenç del Penedès,231,157,92,34,21,31,566
170950,Lloret de Mar,3166,2322,256,1419,115,150,7428
170963,"Llosses, les",20,4,13,55,1,5,98
081094,Lluçà,42,7,14,19,1,4,87
171024,Maçanet de Cabrenys,121,18,62,60,8,0,269
171030,Maçanet de la Selva,711,441,99,101,11,58,1421
170979,Madremanya,21,8,29,9,1,3,71
170985,Maià de Montcal,33,12,30,41,1,3,120
251333,Maials,78,9,248,6,2,2,345
251305,Maldà,38,5,58,3,3,7,114
081108,Malgrat de Mar,2350,1503,404,594,96,156,5103
081115,Malla,8,9,10,9,6,17,59
081120,Manlleu,3154,1477,243,795,69,131,5869
081136,Manresa,10098,6474,1049,5770,335,502,24228
430764,Marçà,193,9,5,23,2,24,256
430751,Margalef,8,2,34,3,4,2,53
082423,Marganell,40,25,5,9,0,7,86
081141,Martorell,2799,3760,251,1046,88,154,8098
081154,Martorelles,816,420,97,262,32,71,1698
430770,Mas de Barberans,175,20,18,10,10,6,239
171002,Masarac,24,9,33,2,5,6,79
430786,Masdenverge,135,23,114,24,8,18,322
081167,"Masies de Roda, les",162,29,8,14,9,3,225
081173,"Masies de Voltregà, les",586,226,5,93,40,5,955
430799,Masllorenç,35,16,70,19,28,1,169
081189,"Masnou, el",2902,2318,323,1509,95,228,7375
430803,"Masó, la",17,9,52,1,4,11,94
430810,Maspujols,88,40,29,7,14,2,180
081192,Masquefa,704,961,84,161,22,50,1982
430825,"Masroig, el",37,8,111,20,0,32,208
251312,Massalcoreig,54,13,98,8,2,12,187
171019,Massanes,127,21,15,21,5,19,208
251327,Massoteres,22,9,21,8,4,3,67
081206,Matadepera,837,776,113,233,36,81,2076
081213,Mataró,17882,12295,1160,5221,523,769,37850
081228,Mediona,199,131,139,90,9,27,595
251348,Menàrguens,124,30,91,12,4,31,292
