,Codi,Literal,Habitatges familiars secundaris,Habitatges familiars vacants,Habitatges familiars altres,Any,Habitatges familiars principals
379,170904,Llambilles,0,2,0.0,2001,107
380,170911,Llanars,241,136,0.0,2001,200
381,170926,Llançà,4584,214,213.0,2001,1607
382,251253,Llardecans,50,44,0.0,2001,224
383,251266,Llavorsí,113,5,19.0,2001,124
384,251207,Lleida,6596,9033,1247.0,2001,40448
385,170932,Llers,48,57,0.0,2001,353
386,251272,Lles de Cerdanya,149,14,4.0,2001,106
387,081075,Lliçà d'Amunt,2278,143,1.0,2001,3398
388,081081,Lliçà de Vall,505,212,1.0,2001,1691
389,251288,Llimiana,111,5,1.0,2001,64
390,081069,Llinars del Vallès,648,119,22.0,2001,2480
391,170947,Llívia,1517,132,3.0,2001,423
392,430727,"Lloar, el",58,5,0.0,2001,48
393,251291,Llobera,0,14,3.0,2001,55
394,430733,Llorac,27,8,0.0,2001,45
395,430748,Llorenç del Penedès,121,79,2.0,2001,566
396,170950,Lloret de Mar,7164,2117,411.0,2001,7428
397,170963,"Llosses, les",75,70,2.0,2001,98
398,081094,Lluçà,66,39,1.0,2001,87
399,171024,Maçanet de Cabrenys,99,106,3.0,2001,269
400,171030,Maçanet de la Selva,827,128,0.0,2001,1421
401,170979,Madremanya,35,6,0.0,2001,71
402,170985,Maià de Montcal,45,25,0.0,2001,120
403,251333,Maials,102,82,2.0,2001,345
404,251305,Maldà,124,0,1.0,2001,114
405,081108,Malgrat de Mar,1324,1207,251.0,2001,5103
406,081115,Malla,15,11,0.0,2001,59
407,081120,Manlleu,105,1222,12.0,2001,5869
408,081136,Manresa,1385,6830,214.0,2001,24228
409,430764,Marçà,174,0,0.0,2001,256
410,430751,Margalef,63,9,0.0,2001,53
411,082423,Marganell,6,6,2.0,2001,86
412,081141,Martorell,236,1180,24.0,2001,8098
413,081154,Martorelles,65,568,5.0,2001,1698
414,430770,Mas de Barberans,54,103,1.0,2001,239
415,171002,Masarac,17,12,0.0,2001,79
416,430786,Masdenverge,0,73,0.0,2001,322
417,081167,"Masies de Roda, les",0,37,0.0,2001,225
418,081173,"Masies de Voltregà, les",0,245,1.0,2001,955
419,430799,Masllorenç,161,37,0.0,2001,169
420,081189,"Masnou, el",1316,909,89.0,2001,7375
421,430803,"Masó, la",20,24,0.0,2001,94
422,430810,Maspujols,155,3,0.0,2001,180
423,081192,Masquefa,342,1149,2.0,2001,1982
424,430825,"Masroig, el",62,53,0.0,2001,208
425,251312,Massalcoreig,2,109,1.0,2001,187
426,171019,Massanes,27,18,2.0,2001,208
427,251327,Massoteres,15,10,1.0,2001,67
428,081206,Matadepera,357,296,0.0,2001,2076
429,081213,Mataró,1040,7571,259.0,2001,37850
430,081228,Mediona,731,24,2.0,2001,595
431,251348,Menàrguens,51,37,0.0,2001,292
432,170998,Meranges,57,24,1.0,2001,35
433,171058,Mieres,73,44,0.0,2001,108
434,430831,"Milà, el",14,18,0.0,2001,53
435,251351,Miralcamp,34,5,2.0,2001,392
436,430846,Miravet,75,5,0.0,2001,282
437,081385,Moià,825,264,50.0,2001,1534
438,430859,"Molar, el",67,31,0.0,2001,112
439,081234,Molins de Rei,670,903,9.0,2001,7370
440,251370,Mollerussa,200,961,2.0,2001,3412
441,171061,Mollet de Peralada,12,30,0.0,2001,70
442,081249,Mollet del Vallès,182,2742,103.0,2001,16780
443,171077,Molló,183,59,1.0,2001,126
444,251364,"Molsosa, la",7,9,0.0,2001,31
445,081287,Monistrol de Calders,101,15,1.0,2001,212
446,081271,Monistrol de Montserrat,70,285,1.0,2001,919
447,171096,Montagut i Oix,4,39,1.0,2001,300
448,430862,Montblanc,519,535,8.0,2001,2149
449,430884,Montbrió del Camp,89,116,1.0,2001,544
450,081252,Montcada i Reixac,204,2407,10.0,2001,9967
451,081304,Montclar,0,2,0.0,2001,32
452,251399,Montellà i Martinet,273,27,5.0,2001,220
453,081311,Montesquiu,125,59,2.0,2001,320
454,251403,Montferrer i Castellbò,198,100,0.0,2001,267
455,430897,Montferri,173,26,0.0,2001,61
456,251386,Montgai,68,31,0.0,2001,279
457,081265,Montgat,478,622,7.0,2001,3044
458,081326,Montmajor,42,39,0.0,2001,137
459,081332,Montmaneu,47,6,1.0,2001,60
460,430901,"Montmell, el",741,22,1.0,2001,289
461,081350,Montmeló,51,271,1.0,2001,2914
462,251425,Montoliu de Lleida,0,76,0.0,2001,149
463,251410,Montoliu de Segarra,39,0,0.0,2001,71
464,251431,Montornès de Segarra,43,6,0.0,2001,38
465,081363,Montornès del Vallès,421,848,48.0,2001,4439
466,430918,Mont-ral,92,1,0.0,2001,67
467,171100,Mont-ras,87,62,0.0,2001,520
468,430923,Mont-roig del Camp,4736,3116,162.0,2001,2629
469,081379,Montseny,0,6,0.0,2001,95
470,430939,Móra d'Ebre,79,426,6.0,2001,1579
471,430944,Móra la Nova,114,209,0.0,2001,1006
472,430957,"Morell, el",64,175,0.0,2001,784
473,430960,"Morera de Montsant, la",81,0,1.0,2001,61
474,081290,Muntanyola,115,0,0.0,2001,125
475,081398,Mura,90,22,0.0,2001,87
476,251459,Nalec,41,12,8.0,2001,35
477,250254,Naut Aran,2579,26,63.0,2001,529
478,081402,Navarcles,213,224,71.0,2001,1798
479,081419,Navàs,87,364,4.0,2001,1932
480,171117,Navata,137,84,0.0,2001,282
481,251462,Navès,46,10,7.0,2001,82
482,081424,"Nou de Berguedà, la",51,17,0.0,2001,47
483,430976,"Nou de Gaià, la",47,0,1.0,2001,145
484,430982,Nulles,74,1,25.0,2001,137
485,251484,Odèn,0,28,0.0,2001,73
486,081430,Òdena,72,204,2.0,2001,895
487,171122,Ogassa,104,9,0.0,2001,109
488,081458,Olèrdola,246,185,0.0,2001,829
489,081461,Olesa de Bonesvalls,94,11,0.0,2001,388
490,081477,Olesa de Montserrat,257,1710,4.0,2001,6156
491,251497,Oliana,225,108,0.0,2001,644
492,251500,Oliola,35,29,0.0,2001,78
493,251517,Olius,123,15,1.0,2001,181
494,081483,Olivella,213,116,0.0,2001,558
495,081496,Olost,108,152,0.0,2001,399
496,171143,Olot,507,2532,214.0,2001,10399
497,251522,"Oluges, les",28,4,0.0,2001,66
498,081445,Olvan,46,82,7.0,2001,324
499,251538,"Omellons, els",26,18,0.0,2001,92
500,251543,"Omells de na Gaia, els",95,18,0.0,2001,60
501,171156,Ordis,41,32,0.0,2001,116
502,251556,Organyà,172,148,4.0,2001,379
503,081509,Orís,13,24,0.0,2001,73
504,081516,Oristà,5,56,0.0,2001,188
505,081521,Orpí,28,4,2.0,2001,51
506,081537,Òrrius,106,14,0.0,2001,164
507,251569,Os de Balaguer,205,42,0.0,2001,286
508,171169,Osor,61,56,3.0,2001,78
509,251575,Ossó de Sió,53,0,0.0,2001,76
510,081542,Pacs del Penedès,35,34,0.0,2001,230
511,081555,Palafolls,511,144,6.0,2001,1996
512,171175,Palafrugell,7628,989,31.0,2001,6568
513,171181,Palamós,2105,2998,41.0,2001,5473
514,251581,"Palau d'Anglesola, el",29,95,0.0,2001,572
515,171194,Palau de Santa Eulàlia,42,0,0.0,2001,33
516,171215,Palau-sator,67,18,0.0,2001,104
517,171208,Palau-saverdera,261,34,2.0,2001,331
518,081568,Palau-solità i Plegamans,1036,219,23.0,2001,3681
519,431009,"Pallaresos, els",327,50,3.0,2001,895
520,081574,Pallejà,641,456,166.0,2001,2856
521,430995,"Palma d'Ebre, la",87,26,2.0,2001,154
522,089058,"Palma de Cervelló, la",192,146,15.0,2001,946
523,171236,Palol de Revardit,31,7,5.0,2001,108
524,171241,Pals,2096,152,3.0,2001,821
525,081580,"Papiol, el",127,94,2.0,2001,1152
526,171254,Pardines,125,14,2.0,2001,55
527,081593,Parets del Vallès,355,690,33.0,2001,5108
528,171267,Parlavà,40,37,4.0,2001,117
