,Any,Serveis,Literal,Codi,Solar,Zones verdes,Equipament,Connectivitat,Densitat comercial,Riscos
273,2012,0.0,Vilamacolum,172253,3.8236,0.3246,19.7957,2.9254,,
274,2012,0.0,Abella de la Conca,250019,1.3808,0.1053,10.0167,0.9672,,
275,2012,0.1704,Sant Julià del Llor i Bonmatí,179032,12.7667,2.3617,24.3533,7.1808,,
276,2012,0.7164,Forallac,179026,18.7476,4.5206,17.5234,10.604800000000001,,
277,2012,0.0,Biure,172348,3.4028,0.0273,50.8204,1.686,,
278,2012,0.0,Vilobí d'Onyar,172333,22.7265,5.6079,15.5768,12.363100000000001,,
279,2012,0.0,Vilopriu,172327,5.3408,2.1641,9.6462,2.9273,,
280,2012,0.0,Vila-sacra,172305,12.3245,0.5876,20.1328,10.2309,,
281,2012,0.0,Vilanant,172288,3.1431,0.1738,25.0308,2.0281,,
282,2012,0.0,Vidrà,172121,9.5257,5.0748,86.9743,2.9118,,
283,2012,11.7569,Vilamalla,172266,69.6791,19.5915,177.9331,31.7003,,
284,2012,10.2239,Vidreres,172137,149.5806,68.9596,31.1105,56.0509,,
285,2012,0.0,Vilallonga de Ter,172240,10.0675,1.3773,32.6371,7.0576,,
286,2012,0.0,Vilajuïga,172235,15.4086,2.8084,39.0616,7.9334,,
287,2012,0.0,Vilaür,172229,7.7863,2.7537,140.6171,2.9913,,
288,2012,0.7002,Vilafant,172214,40.491,6.2737,12.4594,25.648899999999998,,
289,2012,0.0,Viladrau,172207,36.0087,8.1731,84.2317,18.3161,,
290,2012,0.0,Vilademuls,172180,5.1668,0.8197,10.3273,3.5149999999999997,,
291,2012,0.0,Viladamat,172174,11.9645,0.9533,51.9125,8.67,,
292,2012,0.0,Viladasens,172168,1.8733,0.1267,13.3581,1.4687,,
293,2012,0.0,Vilablareix,172155,26.573,4.6921,12.8695,16.656,,
294,2012,0.0,"Cellera de Ter, la",171899,14.224,2.2736,15.2062,8.7675,,
295,2012,0.0,Vilamaniscle,172272,4.8094,1.1725,66.2943,2.3857,,
296,2012,0.0,Riumors,171518,2.6523,0.0577,9.6587,2.3491,,
297,2012,0.0,Sant Gregori,171637,55.7633,13.8796,32.8,27.8052,,
298,2012,0.0,Sant Ferriol,171621,4.1218,1.2125,12.6256,2.5693,,
299,2012,1.1125,Sant Feliu de Pallerols,171616,21.9041,5.3878,27.4026,12.5607,,
300,2012,10.4405,Sant Feliu de Guíxols,171609,193.8357,73.0316,13.5591,86.8788,,
301,2012,0.0387,Sant Feliu de Buixalleu,171595,66.8042,22.0265,171.5511,14.332799999999999,,
302,2012,0.0,Sant Climent Sescebes,171582,7.8899,0.7424,33.8958,5.2038,,
303,2012,0.0,Sant Andreu Salou,171576,1.154,0.1946,27.5501,0.5213,,
304,2012,0.0,Salt,171557,94.9864,19.8014,9.5442,41.6298,,
305,2012,0.0,Sales de Llierca,171544,3.8726,0.6839,94.1906,1.2199,,
306,2012,0.0,Serra de Daró,171910,6.7788,1.4202,36.4828,4.5998,,
307,2012,3.9898,Roses,171523,258.9441,48.5875,11.0401,125.2718,,
308,2012,0.0,Sant Jordi Desvalls,171668,10.5998,0.8768,34.4214,7.205,,
309,2012,0.2634,Riudellots de la Selva,171501,47.7647,15.7848,31.2107,24.7905,,
310,2012,0.0,Riudaura,171498,4.2082,0.6618,22.6427,2.5494,,
311,2012,2.1452,Riudarenes,171485,137.825,75.532,84.5983,31.7315,,
312,2012,1.5254,Ripoll,171479,120.4317,16.3594,16.4053,63.850699999999996,,
313,2012,0.0,Riells i Viabrea,171463,11.4922,3.9775,5.0249,7.3486,,
314,2012,0.962,Ribes de Freser,171450,22.1491,5.42,19.1624,11.6506,,
315,2012,0.0,Regencós,171447,4.71,1.7783,24.6033,2.1765,,
316,2012,0.3211,Rabós,171432,1.5166,0.1141,5.2765,1.2929,,
317,2012,0.0,Quart,171426,25.2241,5.9633,14.4198,12.695599999999999,,
318,2012,0.0,Rupià,171539,2.6639,0.6523,18.3626,1.4489,,
319,2012,0.0,Sant Mori,171766,2.3781,0.6086,13.6627,1.3784,,
320,2012,0.028,"Selva de Mar, la",171886,3.9579,0.9145,40.1224,1.8071000000000002,,
321,2012,0.0,"Saus, Camallera i Llampaies",171870,10.306,1.0541,15.1408,8.030100000000001,,
322,2012,2.6772,Sarrià de Ter,171864,47.1439,8.2331,13.5383,28.3226,,
323,2012,0.6906,Sant Joan les Fonts,171851,37.8446,9.6355,22.9327,21.1874,,
324,2012,0.8346,Santa Pau,171848,17.233,2.8668,20.6301,10.4626,,
325,2012,0.0,Sant Aniol de Finestres,171833,2.56,0.291,12.5294,1.8293,,
