,Codi,Literal,Índex d'envelliment,Índex de sobreenvelliment,Any
13,081691,"Prat de Llobregat, el",114.1,11.8,2016
14,431233,Reus,91.3,15.7,2016
15,081846,Rubí,83.7,12.9,2016
16,081878,Sabadell,111.3,15.6,2016
17,082009,Sant Boi de Llobregat,113.3,12.4,2016
18,082055,Sant Cugat del Vallès,64.4,15.5,2016
19,082457,Santa Coloma de Gramenet,123.7,11.1,2016
20,431482,Tarragona,107.2,15.3,2016
21,082798,Terrassa,91.8,15.7,2016
22,083015,Viladecans,84.0,10.8,2016
23,083073,Vilanova i la Geltrú,116.6,14.5,2016
0,080155,Badalona,114.6,14.0,2017
1,080193,Barcelona,165.3,18.8,2017
2,080569,Castelldefels,83.3,12.8,2017
3,082665,Cerdanyola del Vallès,121.4,11.8,2017
4,080734,Cornellà de Llobregat,131.7,13.6,2017
5,080771,Esplugues de Llobregat,160.6,13.0,2017
6,170792,Girona,88.3,17.2,2017
7,080961,Granollers,107.5,15.6,2017
8,081017,"Hospitalet de Llobregat, l'",140.5,13.8,2017
9,251207,Lleida,110.3,17.7,2017
10,081136,Manresa,122.4,19.1,2017
11,081213,Mataró,101.9,15.5,2017
12,081249,Mollet del Vallès,93.9,12.8,2017
13,081691,"Prat de Llobregat, el",115.8,12.2,2017
14,431233,Reus,93.4,15.9,2017
15,081846,Rubí,86.4,13.0,2017
16,081878,Sabadell,112.0,16.0,2017
17,082009,Sant Boi de Llobregat,116.3,12.6,2017
18,082055,Sant Cugat del Vallès,67.0,15.6,2017
19,082457,Santa Coloma de Gramenet,125.0,11.3,2017
20,431482,Tarragona,109.9,15.6,2017
21,082798,Terrassa,92.7,15.9,2017
22,083015,Viladecans,86.8,11.0,2017
23,083073,Vilanova i la Geltrú,119.3,14.9,2017
0,080155,Badalona,116.3,14.1,2018
1,080193,Barcelona,164.5,19.2,2018
2,080569,Castelldefels,86.6,13.2,2018
3,082665,Cerdanyola del Vallès,128.3,12.0,2018
4,080734,Cornellà de Llobregat,133.3,14.2,2018
5,080771,Esplugues de Llobregat,162.9,13.4,2018
6,170792,Girona,90.2,17.5,2018
7,080961,Granollers,110.1,15.7,2018
8,081017,"Hospitalet de Llobregat, l'",139.1,14.4,2018
9,251207,Lleida,111.5,17.7,2018
10,081136,Manresa,123.1,19.3,2018
11,081213,Mataró,103.5,15.7,2018
12,081249,Mollet del Vallès,99.4,13.0,2018
13,081691,"Prat de Llobregat, el",119.7,12.4,2018
14,431233,Reus,95.8,16.0,2018
15,081846,Rubí,88.7,13.1,2018
16,081878,Sabadell,113.0,16.5,2018
17,082009,Sant Boi de Llobregat,119.7,13.0,2018
18,082055,Sant Cugat del Vallès,70.0,15.6,2018
19,082457,Santa Coloma de Gramenet,124.4,11.8,2018
20,431482,Tarragona,112.6,15.6,2018
21,082798,Terrassa,94.2,16.2,2018
22,083015,Viladecans,90.8,11.6,2018
23,083073,Vilanova i la Geltrú,121.9,14.8,2018
0,080155,Badalona,118.9,14.1,2019
1,080193,Barcelona,164.9,19.5,2019
2,080569,Castelldefels,89.9,13.2,2019
3,082665,Cerdanyola del Vallès,136.8,11.8,2019
4,080734,Cornellà de Llobregat,134.8,14.9,2019
5,080771,Esplugues de Llobregat,165.1,13.8,2019
6,170792,Girona,92.6,17.6,2019
7,080961,Granollers,112.4,16.0,2019
8,081017,"Hospitalet de Llobregat, l'",138.5,15.0,2019
9,251207,Lleida,114.0,18.0,2019
10,081136,Manresa,122.0,19.7,2019
11,081213,Mataró,105.7,15.8,2019
12,081249,Mollet del Vallès,104.7,13.4,2019
13,081691,"Prat de Llobregat, el",122.8,12.7,2019
14,431233,Reus,98.2,15.8,2019
15,081846,Rubí,91.0,13.5,2019
16,081878,Sabadell,114.5,16.8,2019
17,082009,Sant Boi de Llobregat,122.3,13.4,2019
18,082055,Sant Cugat del Vallès,73.0,15.8,2019
19,082457,Santa Coloma de Gramenet,124.7,12.3,2019
20,431482,Tarragona,114.5,15.8,2019
21,082798,Terrassa,96.1,16.5,2019
22,083015,Viladecans,94.5,12.4,2019
23,083073,Vilanova i la Geltrú,127.7,15.0,2019
0,080155,Badalona,121.4,14.1,2020
1,080193,Barcelona,165.5,19.9,2020
2,080569,Castelldefels,92.9,13.4,2020
3,082665,Cerdanyola del Vallès,145.2,12.1,2020
4,080734,Cornellà de Llobregat,136.0,15.7,2020
5,080771,Esplugues de Llobregat,168.3,14.4,2020
6,170792,Girona,96.3,17.4,2020
7,080961,Granollers,114.6,15.9,2020
8,081017,"Hospitalet de Llobregat, l'",137.0,15.6,2020
9,251207,Lleida,116.0,18.2,2020
10,081136,Manresa,121.9,19.9,2020
11,081213,Mataró,109.0,15.7,2020
12,081249,Mollet del Vallès,112.4,13.9,2020
13,081691,"Prat de Llobregat, el",127.0,13.1,2020
14,431233,Reus,100.3,15.9,2020
15,081846,Rubí,94.1,13.4,2020
16,081878,Sabadell,116.5,17.2,2020
17,082009,Sant Boi de Llobregat,125.5,13.5,2020
18,082055,Sant Cugat del Vallès,75.8,15.6,2020
19,082457,Santa Coloma de Gramenet,124.9,12.7,2020
20,431482,Tarragona,117.9,15.7,2020
21,082798,Terrassa,98.6,16.6,2020
22,083015,Viladecans,98.3,12.6,2020
23,083073,Vilanova i la Geltrú,133.0,14.9,2020
