,Codi,Literal,1,2,3,4,5,6 i més,Any
397,170963,"Llosses, les",32,17,20,20,6,3,2001
398,081094,Lluçà,21,17,16,16,9,8,2001
399,171024,Maçanet de Cabrenys,88,69,50,35,19,8,2001
400,171030,Maçanet de la Selva,282,371,297,339,86,46,2001
401,170979,Madremanya,18,19,10,13,8,3,2001
402,170985,Maià de Montcal,25,39,22,17,11,6,2001
403,251333,Maials,87,78,84,50,25,21,2001
404,251305,Maldà,39,32,18,14,9,2,2001
405,081108,Malgrat de Mar,903,1525,1147,1078,293,157,2001
406,081115,Malla,5,7,15,11,9,12,2001
407,081120,Manlleu,860,1592,1387,1352,414,264,2001
408,081136,Manresa,5284,7348,5514,4377,1176,529,2001
409,430764,Marçà,72,76,49,51,7,1,2001
410,430751,Margalef,20,11,6,10,3,3,2001
411,082423,Marganell,28,29,11,12,3,3,2001
412,081141,Martorell,1282,2471,1947,1694,457,247,2001
413,081154,Martorelles,290,416,407,423,120,42,2001
414,430770,Mas de Barberans,52,58,46,54,16,13,2001
415,171002,Masarac,15,19,15,16,9,5,2001
416,430786,Masdenverge,43,96,67,84,18,14,2001
417,081167,"Masies de Roda, les",23,67,39,63,21,12,2001
418,081173,"Masies de Voltregà, les",118,249,255,234,62,37,2001
419,430799,Masllorenç,43,60,28,21,8,9,2001
420,081189,"Masnou, el",1374,1994,1777,1599,453,178,2001
421,430803,"Masó, la",14,25,24,17,9,5,2001
422,430810,Maspujols,40,45,39,39,12,5,2001
423,081192,Masquefa,329,618,459,410,117,49,2001
424,430825,"Masroig, el",59,64,41,23,13,8,2001
425,251312,Massalcoreig,27,47,38,34,24,17,2001
426,171019,Massanes,59,51,35,36,15,12,2001
427,251327,Massoteres,18,19,9,10,6,5,2001
428,081206,Matadepera,201,385,463,613,267,147,2001
429,081213,Mataró,7046,10534,8623,8203,2362,1082,2001
430,081228,Mediona,174,182,94,89,36,20,2001
431,251348,Menàrguens,65,79,54,49,33,12,2001
432,170998,Meranges,17,7,5,1,1,4,2001
433,171058,Mieres,21,32,17,18,13,7,2001
434,430831,"Milà, el",11,11,9,11,8,3,2001
435,251351,Miralcamp,72,94,82,76,37,31,2001
436,430846,Miravet,68,76,52,50,26,10,2001
437,081385,Moià,316,393,346,342,88,49,2001
438,430859,"Molar, el",28,32,24,14,10,4,2001
439,081234,Molins de Rei,1342,2117,1719,1520,429,243,2001
440,251370,Mollerussa,601,860,802,743,268,138,2001
441,171061,Mollet de Peralada,18,23,14,7,1,7,2001
442,081249,Mollet del Vallès,2720,4804,4251,3672,922,411,2001
443,171077,Molló,34,35,19,22,13,3,2001
444,251364,"Molsosa, la",2,6,6,2,4,11,2001
445,081287,Monistrol de Calders,37,56,42,54,18,5,2001
446,081271,Monistrol de Montserrat,222,252,210,154,53,28,2001
447,171096,Montagut i Oix,63,85,66,50,24,12,2001
448,430862,Montblanc,430,525,532,440,156,66,2001
449,430884,Montbrió del Camp,125,153,93,110,41,22,2001
450,081252,Montcada i Reixac,1567,2877,2314,2350,642,217,2001
451,081304,Montclar,5,7,3,7,3,7,2001
452,251399,Montellà i Martinet,78,56,41,25,12,8,2001
453,081311,Montesquiu,84,92,67,56,13,8,2001
454,251403,Montferrer i Castellbò,73,72,43,40,20,19,2001
455,430897,Montferri,16,18,10,8,9,0,2001
456,251386,Montgai,74,60,52,46,25,22,2001
457,081265,Montgat,590,852,712,653,172,65,2001
458,081326,Montmajor,19,39,15,28,17,19,2001
459,081332,Montmaneu,13,13,10,16,5,3,2001
460,430901,"Montmell, el",87,90,40,46,14,12,2001
461,081350,Montmeló,419,772,682,745,225,71,2001
462,251425,Montoliu de Lleida,26,38,28,28,14,15,2001
463,251410,Montoliu de Segarra,26,22,8,6,6,3,2001
464,251431,Montornès de Segarra,13,7,7,6,2,3,2001
465,081363,Montornès del Vallès,705,1209,1048,1027,289,161,2001
466,430918,Mont-ral,28,17,11,7,1,3,2001
467,171100,Mont-ras,66,100,120,157,55,22,2001
468,430923,Mont-roig del Camp,697,749,534,411,166,72,2001
469,081379,Montseny,24,18,13,22,10,8,2001
470,430939,Móra d'Ebre,292,393,367,351,125,51,2001
471,430944,Móra la Nova,210,258,207,217,82,32,2001
472,430957,"Morell, el",129,194,178,181,69,33,2001
473,430960,"Morera de Montsant, la",20,16,12,6,6,1,2001
474,081290,Muntanyola,28,29,30,30,5,3,2001
475,081398,Mura,29,24,13,13,8,0,2001
476,251459,Nalec,11,7,3,7,3,4,2001
477,250254,Naut Aran,173,107,79,97,39,34,2001
478,081402,Navarcles,244,479,448,442,128,57,2001
479,081419,Navàs,345,523,501,374,130,59,2001
480,171117,Navata,61,91,59,47,14,10,2001
481,251462,Navès,15,18,18,12,5,14,2001
482,081424,"Nou de Berguedà, la",10,10,9,10,2,6,2001
483,430976,"Nou de Gaià, la",29,42,27,33,9,5,2001
484,430982,Nulles,43,36,17,23,9,9,2001
485,251484,Odèn,16,12,9,8,10,18,2001
