,Codi,Literal,Any,Total,Homes,Dones,0-14 Anys,15-64 Anys,64 o més,Índex d'envelliment,Índex de sobreenvelliment,Saldo migratori total,Immigracions,Emigracions
285,080804,Fígols,2000,50,29,21,1,32,17,,,,,
286,259084,Fígols i Alinyà,2000,296,162,134,18,162,116,,,,,
287,430580,"Figuera, la",2000,121,61,60,14,71,36,,,,,
288,170669,Figueres,2000,34023,16529,17494,5477,22674,5872,,,,,
289,430593,Figuerola del Camp,2000,280,134,146,39,174,67,,,,,
290,170675,Flaçà,2000,845,417,428,94,549,202,,,,,
291,430607,Flix,2000,4208,2099,2109,535,2754,919,,,,,
292,250925,"Floresta, la",2000,177,96,81,22,89,66,,,,,
293,080826,Fogars de la Selva,2000,692,359,333,103,469,120,,,,,
294,080811,Fogars de Montclús,2000,350,182,168,39,248,63,,,,,
295,170681,Foixà,2000,322,155,167,39,194,89,,,,,
296,080832,Folgueroles,2000,1598,797,801,252,1085,261,,,,,
297,250931,Fondarella,2000,680,343,337,95,466,119,,,,,
298,080847,Fonollosa,2000,941,476,465,138,634,169,,,,,
299,170694,Fontanals de Cerdanya,2000,399,197,202,51,275,73,,,,,
300,170708,Fontanilles,2000,153,83,70,8,114,31,,,,,
301,170715,Fontcoberta,2000,1110,553,557,166,778,166,,,,,
302,080850,Font-rubí,2000,1200,622,578,152,728,320,,,,,
303,250946,Foradada,2000,215,125,90,25,135,55,,,,,
304,179026,Forallac,2000,1650,809,841,202,1145,303,,,,,
305,430614,Forès,2000,68,33,35,0,45,23,,,,,
306,170736,Fornells de la Selva,2000,1489,723,766,236,1041,212,,,,,
307,170741,Fortià,2000,525,259,266,57,338,130,,,,,
308,080863,"Franqueses del Vallès, les",2000,12300,6139,6161,1963,8864,1473,,,,,
309,430629,Freginals,2000,362,180,182,40,207,115,,,,,
310,250962,"Fuliola, la",2000,1251,630,621,155,758,338,,,,,
311,250978,Fulleda,2000,116,61,55,11,70,35,,,,,
312,080902,Gaià,2000,168,88,80,28,109,31,,,,,
313,430635,"Galera, la",2000,746,367,379,71,428,247,,,,,
314,080879,Gallifa,2000,156,82,74,30,108,18,,,,,
315,430640,Gandesa,2000,2564,1284,1280,322,1615,627,,,,,
316,430653,Garcia,2000,512,262,250,38,304,170,,,,,
317,430666,"Garidells, els",2000,162,80,82,22,100,40,,,,,
318,080885,"Garriga, la",2000,11547,5593,5954,1863,7898,1786,,,,,
319,170754,Garrigàs,2000,339,182,157,40,210,89,,,,,
320,170767,Garrigoles,2000,150,81,69,18,94,38,,,,,
321,170773,Garriguella,2000,726,369,357,84,475,167,,,,,
322,080898,Gavà,2000,39220,19524,19696,5783,28427,5010,,,,,
323,250984,Gavet de la Conca,2000,322,159,163,29,170,123,,,,,
324,080919,Gelida,2000,4354,2174,2180,601,3020,733,,,,,
325,170789,Ger,2000,375,200,175,43,257,75,,,,,
326,259123,Gimenells i el Pla de la Font,2000,1124,587,537,126,745,253,,,,,
327,430672,Ginestar,2000,837,423,414,81,491,265,,,,,
328,170792,Girona,2000,73637,35415,38222,11760,50503,11374,94.0,10.0,,,
329,080924,Gironella,2000,4867,2349,2518,514,3054,1299,,,,,
330,080930,Gisclareny,2000,26,14,12,1,18,7,,,,,
331,430688,Godall,2000,721,366,355,64,405,252,,,,,
332,250997,Golmés,2000,1336,644,692,175,871,290,,,,,
333,170806,Gombrèn,2000,235,113,122,14,161,60,,,,,
334,251001,Gósol,2000,225,125,100,19,150,56,,,,,
335,080945,"Granada, la",2000,1329,645,684,199,871,259,,,,,
336,251018,"Granadella, la",2000,810,420,390,86,457,267,,,,,
337,080958,Granera,2000,59,40,19,0,43,16,,,,,
338,251023,"Granja d'Escarp, la",2000,1100,586,514,132,728,240,,,,,
339,080961,Granollers,2000,52423,25564,26859,7799,37248,7376,89.0,9.0,,,
340,251039,Granyanella,2000,150,77,73,11,97,42,,,,,
341,251057,Granyena de les Garrigues,2000,170,86,84,8,104,58,,,,,
342,251044,Granyena de Segarra,2000,158,82,76,6,91,61,,,,,
343,430691,Gratallops,2000,232,123,109,25,154,53,,,,,
344,080977,Gualba,2000,783,409,374,98,552,133,,,,,
345,170813,Gualta,2000,293,150,143,46,186,61,,,,,
346,080996,Guardiola de Berguedà,2000,1013,508,505,130,607,276,,,,,
347,430705,"Guiamets, els",2000,304,152,152,38,178,88,,,,,
348,170828,Guils de Cerdanya,2000,334,164,170,44,237,53,,,,,
349,251095,Guimerà,2000,399,202,197,23,221,155,,,,,
350,259031,"Guingueta d'Àneu, la",2000,313,161,152,40,186,87,,,,,
351,251109,Guissona,2000,3339,1700,1639,581,2245,513,,,,,
352,251116,Guixers,2000,151,91,60,9,100,42,,,,,
353,081000,Gurb,2000,1898,967,931,310,1311,277,,,,,
354,430712,Horta de Sant Joan,2000,1233,653,580,135,744,354,,,,,
355,081017,"Hospitalet de Llobregat, l'",2000,241782,118140,123642,27165,173503,41114,152.0,8.0,,,
356,081629,"Hostalets de Pierola, els",2000,1239,642,597,128,860,251,,,,,
357,170834,Hostalric,2000,2901,1420,1481,408,2043,450,,,,,
358,081022,Igualada,2000,32516,15815,16701,4469,21966,6081,,,,,
359,251155,Isona i Conca Dellà,2000,1222,650,572,106,719,397,,,,,
360,170849,Isòvol,2000,204,113,91,21,134,49,,,,,
361,251137,Ivars d'Urgell,2000,1764,907,857,206,1089,469,,,,,
362,251121,Ivars de Noguera,2000,338,171,167,31,218,89,,,,,
363,251142,Ivorra,2000,153,72,81,14,95,44,,,,,
364,170852,Jafre,2000,317,163,154,25,185,107,,,,,
365,170865,"Jonquera, la",2000,2565,1288,1277,399,1808,358,,,,,
366,081038,Jorba,2000,572,273,299,98,347,127,,,,,
367,259101,Josa i Tuixén,2000,169,90,79,14,105,50,,,,,
368,170871,Juià,2000,266,123,143,28,174,64,,,,,
369,251180,Juncosa,2000,629,360,269,74,387,168,,,,,
370,251193,Juneda,2000,2988,1503,1485,384,1881,723,,,,,
371,251214,Les,2000,697,351,346,106,468,123,,,,,
372,251229,Linyola,2000,2401,1192,1209,311,1548,542,,,,,
373,081043,"Llacuna, la",2000,849,441,408,109,536,204,,,,,
374,170887,Lladó,2000,502,257,245,53,310,139,,,,,
375,251235,Lladorre,2000,234,119,115,22,155,57,,,,,
376,251240,Lladurs,2000,244,128,116,28,161,55,,,,,
377,081056,"Llagosta, la",2000,11933,5968,5965,1613,8891,1429,,,,,
378,170890,Llagostera,2000,5769,2927,2842,822,3848,1099,,,,,
379,170904,Llambilles,2000,472,242,230,55,321,96,,,,,
380,170911,Llanars,2000,489,249,240,49,331,109,,,,,
381,170926,Llançà,2000,4063,2007,2056,511,2692,860,,,,,
382,251253,Llardecans,2000,625,322,303,66,372,187,,,,,
383,251266,Llavorsí,2000,285,141,144,37,174,74,,,,,
384,251207,Lleida,2000,112194,54537,57657,15885,77144,19165,115.0,9.0,,,
385,170932,Llers,2000,954,484,470,108,669,177,,,,,
386,251272,Lles de Cerdanya,2000,288,161,127,32,186,70,,,,,
387,081075,Lliçà d'Amunt,2000,9595,4954,4641,1567,7059,969,,,,,
388,081081,Lliçà de Vall,2000,5070,2610,2460,799,3783,488,,,,,
389,251288,Llimiana,2000,147,81,66,10,93,44,,,,,
390,081069,Llinars del Vallès,2000,6877,3469,3408,1075,4891,911,,,,,
391,170947,Llívia,2000,1013,535,478,120,724,169,,,,,
392,430727,"Lloar, el",2000,123,61,62,3,70,50,,,,,
393,251291,Llobera,2000,237,122,115,22,142,73,,,,,
394,430733,Llorac,2000,120,58,62,12,73,35,,,,,
