,Literal,Codi,Any,Evolucio atur
382,Llançà,170926,2013,-0.1000000000000227
383,Llardecans,251253,2013,0.7999999999999989
384,Llavorsí,251266,2013,2.3999999999999986
385,Lleida,251207,2013,-280.5
386,Llers,170932,2013,3.3999999999999986
387,Lles de Cerdanya,251272,2013,-1.3000000000000007
388,Lliçà d'Amunt,081075,2013,33.200000000000045
389,Lliçà de Vall,081081,2013,12.100000000000025
390,Llimiana,251288,2013,-1.5
391,Llinars del Vallès,081069,2013,9.899999999999975
392,Llívia,170947,2013,-5.200000000000003
393,"Lloar, el",430727,2013,0.2999999999999998
394,Llobera,251291,2013,1.0
395,Llorac,430733,2013,2.5
396,Llorenç del Penedès,430748,2013,5.199999999999989
397,Lloret de Mar,170950,2013,8.300000000000182
398,"Llosses, les",170963,2013,1.8000000000000007
399,Lluçà,081094,2013,-1.0
400,Maçanet de Cabrenys,171024,2013,5.399999999999999
401,Maçanet de la Selva,171030,2013,45.39999999999998
402,Madremanya,170979,2013,-2.400000000000002
403,Maià de Montcal,170985,2013,6.699999999999999
404,Maials,251333,2013,1.2000000000000028
405,Maldà,251305,2013,1.3999999999999986
406,Malgrat de Mar,081108,2013,-13.900000000000093
407,Malla,081115,2013,-1.7999999999999998
408,Manlleu,081120,2013,77.29999999999973
409,Manresa,081136,2013,-30.800000000000185
410,Marçà,430764,2013,-1.3999999999999986
411,Margalef,430751,2013,0.7000000000000002
412,Marganell,082423,2013,-5.199999999999999
413,Martorell,081141,2013,-17.300000000000182
414,Martorelles,081154,2013,-10.0
415,Mas de Barberans,430770,2013,-1.1999999999999955
416,Masarac,171002,2013,-1.200000000000001
417,Masdenverge,430786,2013,15.0
418,"Masies de Roda, les",081167,2013,5.5
419,"Masies de Voltregà, les",081173,2013,22.299999999999983
420,Masllorenç,430799,2013,-1.4000000000000057
421,"Masnou, el",081189,2013,21.600000000000136
422,"Masó, la",430803,2013,2.700000000000001
423,Maspujols,430810,2013,4.000000000000004
424,Masquefa,081192,2013,48.39999999999998
425,"Masroig, el",430825,2013,1.3000000000000007
426,Massalcoreig,251312,2013,-1.6999999999999993
427,Massanes,171019,2013,13.400000000000006
428,Massoteres,251327,2013,0.6999999999999993
429,Matadepera,081206,2013,11.699999999999989
430,Mataró,081213,2013,120.89999999999964
431,Mediona,081228,2013,5.400000000000006
432,Menàrguens,251348,2013,-0.7000000000000028
433,Meranges,170998,2013,1.1
434,Mieres,171058,2013,2.8000000000000007
435,"Milà, el",430831,2013,0.2000000000000001
436,Miralcamp,251351,2013,-4.200000000000003
437,Miravet,430846,2013,2.5
438,Moià,081385,2013,11.5
439,"Molar, el",430859,2013,1.0999999999999996
440,Molins de Rei,081234,2013,-78.0
441,Mollerussa,251370,2013,-28.200000000000045
442,Mollet de Peralada,171061,2013,-0.1999999999999993
443,Mollet del Vallès,081249,2013,-35.0
444,Molló,171077,2013,-0.7999999999999989
445,"Molsosa, la",251364,2013,0.2999999999999998
446,Monistrol de Calders,081287,2013,0.3000000000000042
447,Monistrol de Montserrat,081271,2013,10.600000000000025
448,Montagut i Oix,171096,2013,-3.3999999999999986
449,Montblanc,430862,2013,-16.0
450,Montbrió del Camp,430884,2013,18.30000000000001
451,Montcada i Reixac,081252,2013,92.30000000000018
452,Montclar,081304,2013,1.0
453,Montellà i Martinet,251399,2013,0.3999999999999986
454,Montesquiu,081311,2013,-8.299999999999997
455,Montferrer i Castellbò,251403,2013,8.0
456,Montferri,430897,2013,-1.7999999999999972
457,Montgai,251386,2013,-0.5
458,Montgat,081265,2013,25.799999999999955
459,Montmajor,081326,2013,2.299999999999997
460,Montmaneu,081332,2013,-1.0
461,"Montmell, el",430901,2013,-0.5
462,Montmeló,081350,2013,35.799999999999955
463,Montoliu de Lleida,251425,2013,-2.5
464,Montoliu de Segarra,251410,2013,0.4000000000000003
465,Montornès de Segarra,251431,2013,2.1000000000000005
466,Montornès del Vallès,081363,2013,67.5
467,Mont-ral,430918,2013,-3.6
468,Mont-ras,171100,2013,-8.0
469,Mont-roig del Camp,430923,2013,14.200000000000044
470,Montseny,081379,2013,1.6000000000000014
471,Móra d'Ebre,430939,2013,-3.5
472,Móra la Nova,430944,2013,20.40000000000001
473,"Morell, el",430957,2013,-9.400000000000034
474,"Morera de Montsant, la",430960,2013,-2.000000000000001
475,Muntanyola,081290,2013,-0.6999999999999957
476,Mura,081398,2013,-4.6
477,Nalec,251459,2013,0.3
478,Naut Aran,250254,2013,7.599999999999994
479,Navarcles,081402,2013,-3.6000000000000227
480,Navàs,081419,2013,43.59999999999991
481,Navata,171117,2013,-1.8999999999999984
482,Navès,251462,2013,-1.9000000000000004
483,"Nou de Berguedà, la",081424,2013,-3.4000000000000004
484,"Nou de Gaià, la",430976,2013,-4.699999999999996
485,Nulles,430982,2013,-4.199999999999999
486,Odèn,251484,2013,-0.7
487,Òdena,081430,2013,44.89999999999998
488,Ogassa,171122,2013,-0.1000000000000014
489,Olèrdola,081458,2013,16.400000000000034
490,Olesa de Bonesvalls,081461,2013,4.5
