,Literal,Codi,Any,Renda
557,Casserres,080497,2011,16.3
558,Castellar del Vallès,080517,2011,17.2
559,Castellbell i el Vilar,080538,2011,14.8
560,Castellbisbal,080543,2011,16.9
561,Castelldans,250674,2011,18.1
562,Castelldefels,080569,2011,15.1
563,Castellet i la Gornal,080581,2011,14.1
564,Castellgalí,080615,2011,17.0
565,Castellnou de Bages,080620,2011,9.8
566,Castelló d'Empúries,170470,2011,13.1
567,Castell-Platja d'Aro,170486,2011,16.2
568,Castellterçol,080641,2011,18.8
569,Castellvell del Camp,430424,2011,15.4
570,Castellví de la Marca,080654,2011,17.3
571,Castellví de Rosanes,080667,2011,17.2
572,"Catllar, el",430430,2011,14.6
573,"Cellera de Ter, la",171899,2011,15.0
574,Celrà,170499,2011,16.1
575,Centelles,080673,2011,17.6
576,Cercs,082687,2011,17.8
577,Cerdanyola del Vallès,082665,2011,18.9
578,Cervelló,080689,2011,13.7
579,Cervera,250729,2011,19.4
580,Collbató,080692,2011,11.8
581,Constantí,430477,2011,11.9
582,Corbera d'Ebre,430483,2011,17.5
583,Corbera de Llobregat,080728,2011,13.6
584,Corbins,250788,2011,15.2
585,Corçà,170577,2011,16.0
586,Cornellà de Llobregat,080734,2011,16.7
587,Cornellà del Terri,170561,2011,14.9
588,Creixell,430509,2011,15.3
589,Cubelles,080749,2011,13.7
590,Cunit,430516,2011,11.0
591,Deltebre,439018,2011,16.4
592,Dosrius,080752,2011,12.4
593,"Escala, l'",170622,2011,16.0
594,Esparreguera,080765,2011,14.3
595,"Espluga de Francolí, l'",430542,2011,19.5
596,Esplugues de Llobregat,080771,2011,16.6
597,"Esquirol, l'",082541,2011,14.0
598,Falset,430555,2011,13.9
599,Figaró-Montmany,081347,2011,12.6
600,Figueres,170669,2011,17.0
601,Flaçà,170675,2011,17.2
602,Flix,430607,2011,15.1
603,Fogars de la Selva,080826,2011,17.4
604,Folgueroles,080832,2011,18.5
605,Fonollosa,080847,2011,15.5
606,Fontcoberta,170715,2011,19.0
607,Font-rubí,080850,2011,15.0
608,Forallac,179026,2011,18.7
609,Fornells de la Selva,170736,2011,15.6
610,"Franqueses del Vallès, les",080863,2011,12.4
611,"Fuliola, la",250962,2011,12.7
612,Gandesa,430640,2011,17.6
613,"Garriga, la",080885,2011,17.7
614,Gavà,080898,2011,16.2
615,Gelida,080919,2011,12.2
616,Gimenells i el Pla de la Font,259123,2011,16.5
617,Ginestar,430672,2011,15.7
618,Girona,170792,2011,13.5
619,Gironella,080924,2011,16.9
620,Golmés,250997,2011,16.4
621,"Granada, la",080945,2011,16.2
622,"Granja d'Escarp, la",251023,2011,14.2
623,Granollers,080961,2011,17.5
624,Gualba,080977,2011,12.6
625,Guissona,251109,2011,15.5
626,Gurb,081000,2011,14.0
