,Any,Literal,Codi,Connectivitat
567,2012,Marçà,430764,2.9904
568,2012,Margalef,430751,1.1753
569,2012,Llorenç del Penedès,430748,23.5026
570,2012,Llorac,430733,2.4843
571,2012,la Febró,430574,0.4719
572,2012,Horta de Sant Joan,430712,10.6475
573,2012,la Figuera,430580,1.3767
574,2012,Gratallops,430691,2.0341
575,2012,Godall,430688,4.6251
576,2012,Ginestar,430672,4.6609
577,2012,els Garidells,430666,3.1929000000000003
578,2012,Garcia,430653,4.2491
579,2012,Gandesa,430640,18.1494
580,2012,la Galera,430635,3.9834
581,2012,Freginals,430629,1.8914
582,2012,Forès,430614,2.0201000000000002
583,2012,Flix,430607,27.5712
584,2012,les Borges del Camp,430311,12.2116
585,2012,el Lloar,430727,0.9848
586,2012,les Valls d'Aguilar,259062,5.0104
587,2012,Botarell,430332,6.2318999999999996
588,2012,Alcanar,430043,100.4005
589,2012,l'Albiol,430038,0.47950000000000004
590,2012,Albinyana,430022,18.299599999999998
591,2012,Aiguamúrcia,430017,17.1402
592,2012,Riu de Cerdanya,259139,1.3634
593,2012,Gimenells i el Pla de la Font,259123,15.7289
594,2012,els Plans de Sió,259118,9.9724
595,2012,Josa i Tuixén,259101,2.1822
596,2012,la Vansa i Fórnols,259097,3.8651999999999997
597,2012,Aldover,430069,4.0653
598,2012,Torrefeta i Florejacs,259078,8.8005
599,2012,l'Aleixar,430075,1.7671999999999999
600,2012,Ribera d'Ondara,259059,7.1526
601,2012,Castell de Mur,259046,3.0396
602,2012,la Guingueta d'Àneu,259031,5.2044
603,2012,Sant Martí de Riucorb,259025,5.8376
604,2012,Vall de Cardós,259010,6.3946000000000005
605,2012,Vinaixa,252555,5.793200000000001
606,2012,Vilanova de la Barca,252542,11.716
607,2012,el Vilosell,252537,2.5583
608,2012,Vila-sana,252521,6.6614
609,2012,Vilanova de Segrià,252516,5.5102
610,2012,Vilanova de Meià,252509,5.3576
611,2012,Fígols i Alinyà,259084,3.7651
612,2012,Ascó,430192,15.197099999999999
613,2012,Miravet,430846,4.6021
614,2012,Bonastre,430304,8.1654
615,2012,Blancafort,430290,3.5866
616,2012,la Bisbal del Penedès,430287,55.7705
617,2012,la Bisbal de Falset,430271,1.2829000000000002
618,2012,Benissanet,430265,6.9475
619,2012,Benifallet,430252,3.7298999999999998
620,2012,Bellvei,430249,21.423299999999998
621,2012,Bellmunt del Priorat,430234,1.7378
622,2012,Batea,430228,12.4877
623,2012,Alcover,430056,18.970599999999997
624,2012,Banyeres del Penedès,430206,21.8804
625,2012,Bot,430326,4.3983
626,2012,Arnes,430189,3.4694000000000003
627,2012,l'Argentera,430173,1.751
628,2012,l'Arboç,430167,34.5747
629,2012,Arbolí,430154,0.7459
630,2012,Amposta,430141,96.42609999999999
631,2012,l'Ametlla de Mar,430136,74.7381
632,2012,Altafulla,430120,38.6923
633,2012,Almoster,430115,12.8783
634,2012,Alió,430108,4.393
