Codi,Literal,Migracions internes  amb la resta de Catalunya  immigracions,Migracions internes  amb la resta de Catalunya  emigracions,Migracions internes  amb la resta de Catalunya  saldo migratori,Migracions internes  amb la resta d'Espanya  immigracions,Migracions internes  amb la resta d'Espanya  emigracions,Migracions internes  amb la resta d'Espanya  saldo migratori,Migracions externes  immigracions,Migracions externes  emigracions,Migracions externes  saldo migratori,Saldo migratori total
080734,Cornellà de Llobregat,3539,3286,253,460,496,-36,1888,432,1456,1673,
170561,Cornellà del Terri,154,120,34,14,9,5,16,3,13,52,
430496,Cornudella de Montsant,26,41,-15,12,5,7,15,1,14,6,
430509,Creixell,314,216,98,14,31,-17,52,15,37,118,
170583,Crespià,11,14,-3,2,1,1,6,6,0,-2,
179011,"Cruïlles, Monells i Sant Sadurní de l'Heura",62,58,4,6,4,2,13,10,3,9,
080749,Cubelles,1041,844,197,102,106,-4,214,78,136,329,
250791,Cubells,13,20,-7,0,1,-1,2,0,2,-6,
430516,Cunit,1273,819,454,105,113,-8,353,94,259,705,
170600,Darnius,20,28,-8,3,3,0,4,24,-20,-28,
170617,Das,41,5,36,2,1,1,3,1,2,39,
439018,Deltebre,277,292,-15,34,78,-44,143,115,28,-31,
080752,Dosrius,437,324,113,19,34,-15,117,6,111,209,
430537,Duesaigües,13,14,-1,0,0,0,13,0,13,12,
170622,"Escala, l'",310,326,-16,60,83,-23,186,73,113,74,
080765,Esparreguera,892,841,51,121,108,13,239,123,116,180,
170638,Espinelves,16,7,9,0,0,0,1,0,1,10,
250812,"Espluga Calba, l'",5,11,-6,0,0,0,3,0,3,-3,
430542,"Espluga de Francolí, l'",143,121,22,19,15,4,29,21,8,34,
080771,Esplugues de Llobregat,2059,2154,-95,243,296,-53,857,210,647,499,
170643,Espolla,8,17,-9,1,4,-3,2,0,2,-10,
170656,Esponellà,34,15,19,0,1,-1,1,2,-1,17,
250827,Espot,17,15,2,6,2,4,5,6,-1,5,
080787,"Espunyola, l'",7,11,-4,0,0,0,0,0,0,-4,
082541,"Esquirol, l'",95,70,25,10,4,6,20,2,18,49,
250886,Estamariu,2,1,1,0,0,0,1,0,1,2,
080790,"Estany, l'",32,17,15,1,1,0,3,1,2,17,
250851,Estaràs,8,6,2,0,0,0,0,0,0,2,
