Codi,Literal,Migracions internes  amb la resta de Catalunya  immigracions,Migracions internes  amb la resta de Catalunya  emigracions,Migracions internes  amb la resta de Catalunya  saldo migratori,Migracions internes  amb la resta d'Espanya  immigracions,Migracions internes  amb la resta d'Espanya  emigracions,Migracions internes  amb la resta d'Espanya  saldo migratori,Migracions externes  immigracions,Migracions externes  emigracions,Migracions externes  saldo migratori,Saldo migratori total
250870,Esterri de Cardós,5,5,0,0,0,0,0,0,0,0
430555,Falset,71,71,0,25,12,13,23,8,15,28
170059,"Far d'Empordà, el",24,14,10,2,1,1,5,1,4,15
250899,Farrera,8,3,5,4,0,4,0,0,0,9
430568,"Fatarella, la",4,7,-3,4,4,0,3,0,3,0
430574,"Febró, la",4,2,2,0,0,0,0,0,0,2
081347,Figaró-Montmany,88,77,11,2,4,-2,5,10,-5,4
080804,Fígols,5,2,3,0,0,0,0,0,0,3
259084,Fígols i Alinyà,21,10,11,1,0,1,5,2,3,15
430580,"Figuera, la",8,4,4,0,0,0,0,0,0,4
170669,Figueres,1304,1640,-336,275,359,-84,731,557,174,-246
430593,Figuerola del Camp,21,13,8,0,0,0,4,0,4,12
170675,Flaçà,65,47,18,9,2,7,13,5,8,33
430607,Flix,132,79,53,21,14,7,40,8,32,92
250925,"Floresta, la",10,3,7,1,0,1,1,0,1,9
080826,Fogars de la Selva,128,61,67,9,7,2,9,4,5,74
080811,Fogars de Montclús,21,25,-4,2,1,1,2,0,2,-1
170681,Foixà,17,21,-4,0,0,0,3,0,3,-1
080832,Folgueroles,77,59,18,1,0,1,2,2,0,19
250931,Fondarella,47,29,18,1,4,-3,6,4,2,17
080847,Fonollosa,76,50,26,3,1,2,10,1,9,37
170694,Fontanals de Cerdanya,91,26,65,6,1,5,4,2,2,72
170708,Fontanilles,15,3,12,1,0,1,0,0,0,13
170715,Fontcoberta,57,49,8,2,2,0,2,8,-6,2
080850,Font-rubí,76,58,18,3,9,-6,35,14,21,33
250946,Foradada,16,17,-1,0,3,-3,3,0,3,-1
179026,Forallac,113,88,25,4,4,0,16,14,2,27
430614,Forès,6,1,5,1,0,1,0,0,0,6
170736,Fornells de la Selva,114,85,29,11,7,4,8,4,4,37
170741,Fortià,54,44,10,2,0,2,9,22,-13,-1
080863,"Franqueses del Vallès, les",866,806,60,72,79,-7,172,163,9,62
430629,Freginals,16,26,-10,2,1,1,13,0,13,4
250962,"Fuliola, la",44,39,5,5,4,1,14,9,5,11
250978,Fulleda,3,4,-1,0,0,0,0,0,0,-1
080902,Gaià,19,10,9,1,2,-1,0,0,0,8
430635,"Galera, la",31,33,-2,2,3,-1,7,1,6,3
080879,Gallifa,24,8,16,0,0,0,1,0,1,17
430640,Gandesa,96,61,35,30,25,5,28,23,5,45
430653,Garcia,30,23,7,2,5,-3,3,0,3,7
430666,"Garidells, els",17,7,10,2,1,1,0,0,0,11
080885,"Garriga, la",624,527,97,87,89,-2,163,114,49,144
170754,Garrigàs,31,19,12,5,1,4,0,0,0,16
170767,Garrigoles,12,11,1,0,2,-2,3,0,3,2
170773,Garriguella,79,31,48,3,4,-1,25,1,24,71
080898,Gavà,1495,1606,-111,257,286,-29,469,292,177,37
250984,Gavet de la Conca,20,11,9,1,1,0,1,1,0,9
