Municipi,Total
Torrelameu,474.0
Torrelavit,917.0
Torrelles de Foix,1544.0
Torrelles de Llobregat,3874.0
Torrent,17496.877999999997
Torres de Segre,1431.0
Torroella de Fluvià,481.0
Torroella de Montgrí,7507.0
Torroja del Priorat,102.0
Tortellà,476.0
Tortosa,22290.0
Torà,863.0
Toses,103.0
Tossa de Mar,3973.0
Tremp,3951.0
Tàrrega,11049.0
Térmens,1038.0
Tírvia,105.0
Ullastrell,1276.0
Ullastret,167.0
Ulldecona,4666.0
Ulldemolins,250.0
Ullà,709.0
Ultramort,124.0
Urús,138.0
Vacarisses,4077.0
Vall de Cardós,261.0
Vallbona de les Monges,151.0
Vallcebre,180.0
Vallclara,76.0
Vallfogona de Balaguer,1261.0
Vallfogona de Ripollès,143.0
Vallfogona de Riucorb,71.0
Vallgorguina,1783.0
Vallirana,9625.0
Vallmoll,1148.0
Vallromanes,1607.0
Valls,16417.0
Veciana,93.0
Ventalló,526.0
Verdú,585.0
Verges,734.0
Vespella de Gaià,270.0
Vic,26747.0
Vidreres,5088.0
Vidrà,110.0
Vielha e Mijaran,4047.0
Vilabella,524.0
Vilabertran,573.0
Vilablareix,1716.0
Vilada,315.0
Viladamat,287.0
Viladasens,141.0
Viladecans,21887.023999999998
Viladecavalls,5180.0
Vilademuls,475.0
Viladrau,708.0
Vilafant,3752.0
Vilafranca del Penedès,25844.0
Vilagrassa,305.0
Vilajuïga,724.0
Vilalba Sasserra,454.0
Vilalba dels Arcs,417.0
Vilaller,446.0
Vilallonga de Ter,283.0
Vilallonga del Camp,1481.0
Vilamacolum,179.0
Vilamalla,730.0
Vilamaniscle,101.0
Vilamòs,140.0
Vilanant,250.0
Vilanova de Bellpuig,704.0
Vilanova de Meià,249.0
Vilanova de Prades,75.0
Vilanova de Sau,220.0
Vilanova de Segrià,599.0
Vilanova de la Barca,725.0
Vilanova del Camí,8443.0
Vilanova del Vallès,3323.0
Vilanova i la Geltrú,22837.165
Vilaplana,413.0
Vilassar de Dalt,5867.0
Vilassar de Mar,13027.0
Vilaverd,305.0
Vilaür,78.0
Vilobí del Penedès,702.0
Vilopriu,131.0
Vimbodí i Poblet,595.0
Vinaixa,361.0
Vinebre,302.0
Vinyols i els Arcs,1304.0
Viver i Serrateix,109.0
Xerta,781.0
Àger,359.0
Òdena,2360.0
Òrrius,441.0
