Codi,Literal,Habitatges familiars    principals,Habitatges familiars  no principals  secundaris,Habitatges familiars  no principals  buits,Habitatges familiars  no principals  total,Habitatges familiars    total,Habitatges col·lectius
081043,"Llacuna, la",375,244,107,351,726,0
170887,Lladó,288,0,80,101,389,1
251235,Lladorre,99,72,21,93,192,0
251240,Lladurs,63,49,25,74,137,0
081056,"Llagosta, la",5222,0,424,475,5697,0
170890,Llagostera,3104,845,503,1348,4452,2
170904,Llambilles,225,0,0,167,392,0
170911,Llanars,228,527,93,620,848,0
170926,Llançà,2063,6594,267,6861,8924,2
251253,Llardecans,234,60,52,112,346,0
251266,Llavorsí,171,138,0,147,318,0
251207,Lleida,55792,3167,7456,10623,66415,40
170932,Llers,420,0,0,46,466,0
251272,Lles de Cerdanya,123,179,56,235,358,3
081075,Lliçà d'Amunt,4935,1311,350,1661,6596,1
081081,Lliçà de Vall,2166,367,166,533,2699,0
251288,Llimiana,92,37,4,41,133,0
081069,Llinars del Vallès,3374,308,670,978,4352,3
170947,Llívia,700,1553,345,1898,2598,0
430727,"Lloar, el",42,61,11,72,114,0
251291,Llobera,62,16,0,21,83,0
430733,Llorac,52,37,12,49,101,0
430748,Llorenç del Penedès,830,162,0,280,1110,1
170950,Lloret de Mar,15541,4200,3789,7989,23530,5
170963,"Llosses, les",97,64,0,79,176,0
081094,Lluçà,94,117,0,145,239,0
171024,Maçanet de Cabrenys,297,298,0,318,615,0
171030,Maçanet de la Selva,2660,737,467,1204,3864,1
170979,Madremanya,99,40,0,46,145,0
170985,Maià de Montcal,185,47,22,69,254,0
251333,Maials,380,104,138,242,622,0
251305,Maldà,97,24,125,149,246,1
081108,Malgrat de Mar,6969,2106,1109,3215,10184,6
081115,Malla,81,0,0,17,98,0
081120,Manlleu,7353,314,1103,1417,8770,2
081136,Manresa,29072,1099,9434,10533,39605,31
430764,Marçà,267,159,81,240,507,0
430751,Margalef,49,73,13,86,135,0
082423,Marganell,103,82,0,95,198,2
081141,Martorell,9987,0,600,728,10715,8
081154,Martorelles,1854,0,265,328,2182,1
430770,Mas de Barberans,256,0,145,183,439,0
171002,Masarac,106,24,0,32,138,0
430786,Masdenverge,427,0,75,98,525,0
081167,"Masies de Roda, les",275,0,0,39,314,0
081173,"Masies de Voltregà, les",1138,0,0,192,1330,0
430799,Masllorenç,219,176,0,223,442,0
081189,"Masnou, el",8837,908,621,1529,10366,5
430803,"Masó, la",106,27,27,54,160,0
430810,Maspujols,302,119,0,144,446,0
081192,Masquefa,3133,0,1153,1291,4424,0
430825,"Masroig, el",205,107,71,178,383,0
251312,Massalcoreig,214,38,37,75,289,0
171019,Massanes,266,127,53,180,446,0
251327,Massoteres,69,30,34,64,133,1
081206,Matadepera,2796,317,220,537,3333,2
081213,Mataró,47081,1272,5957,7229,54310,19
081228,Mediona,886,862,187,1049,1935,1
251348,Menàrguens,369,59,100,159,528,0
170998,Meranges,40,40,8,48,88,0
171058,Mieres,133,71,0,87,220,0
430831,"Milà, el",60,20,19,39,99,0
251351,Miralcamp,525,0,47,51,576,0
430846,Miravet,296,127,69,196,492,0
081385,Moià,2144,513,795,1308,3452,5
430859,"Molar, el",125,44,69,113,238,0
081234,Molins de Rei,9672,0,1129,1756,11428,2
251370,Mollerussa,5352,0,1184,1225,6577,5
171061,Mollet de Peralada,73,44,0,64,137,0
081249,Mollet del Vallès,19307,306,2829,3135,22442,2
171077,Molló,153,241,59,300,453,2
251364,"Molsosa, la",33,9,0,13,46,0
081287,Monistrol de Calders,250,223,44,267,517,0
081271,Monistrol de Montserrat,1278,0,253,343,1621,1
171096,Montagut i Oix,348,62,51,113,461,6
430862,Montblanc,3012,381,610,991,4003,3
430884,Montbrió del Camp,966,95,317,412,1378,0
081252,Montcada i Reixac,13007,366,2537,2903,15910,4
081304,Montclar,37,25,0,32,69,0
251399,Montellà i Martinet,304,253,94,347,651,0
081311,Montesquiu,370,87,129,216,586,1
251403,Montferrer i Castellbò,429,222,315,537,966,2
430897,Montferri,154,131,0,148,302,0
251386,Montgai,264,80,53,133,397,0
081265,Montgat,4351,0,0,380,4731,2
081326,Montmajor,161,41,48,89,250,0
081332,Montmaneu,76,23,0,27,103,0
430901,"Montmell, el",615,694,231,925,1540,0
081350,Montmeló,3252,0,0,340,3592,8
251425,Montoliu de Lleida,198,60,0,109,307,0
251410,Montoliu de Segarra,98,59,16,75,173,0
251431,Montornès de Segarra,33,22,0,29,62,0
081363,Montornès del Vallès,5895,0,556,750,6645,1
430918,Mont-ral,75,79,19,98,173,0
171100,Mont-ras,634,57,0,90,724,0
430923,Mont-roig del Camp,5241,5103,3713,8816,14057,3
081379,Montseny,109,90,62,152,261,0
430939,Móra d'Ebre,2051,253,907,1160,3211,3
430944,Móra la Nova,1276,0,165,241,1517,4
430957,"Morell, el",1377,0,0,88,1465,1
430960,"Morera de Montsant, la",70,32,60,92,162,0
081290,Muntanyola,203,95,0,111,314,0
081398,Mura,99,130,0,139,238,0
251459,Nalec,39,74,0,80,119,0
250254,Naut Aran,743,2590,401,2991,3734,8
081402,Navarcles,2362,0,532,685,3047,1
081419,Navàs,2371,0,774,928,3299,1
171117,Navata,497,215,41,256,753,0
251462,Navès,95,75,44,119,214,0
081424,"Nou de Berguedà, la",46,48,12,60,106,0
430976,"Nou de Gaià, la",226,0,0,31,257,0
430982,Nulles,177,89,56,145,322,0
251484,Odèn,78,32,11,43,121,2
081430,Òdena,1292,82,256,338,1630,0
171122,Ogassa,92,143,55,198,290,0
081458,Olèrdola,1300,280,121,401,1701,0
081461,Olesa de Bonesvalls,646,229,0,271,917,1
081477,Olesa de Montserrat,9093,283,936,1219,10312,6
251497,Oliana,712,0,446,450,1162,1
251500,Oliola,89,35,0,37,126,0
251517,Olius,324,120,0,163,487,0
081483,Olivella,1445,426,0,522,1967,1
081496,Olost,445,79,81,160,605,0
171143,Olot,12810,829,3118,3947,16757,14
251522,"Oluges, les",79,51,9,60,139,0
081445,Olvan,390,60,55,115,505,0
251538,"Omellons, els",104,0,31,46,150,0
251543,"Omells de na Gaia, els",60,121,0,121,181,0
171156,Ordis,147,0,0,15,162,0
251556,Organyà,378,216,155,371,749,2
081509,Orís,111,0,0,62,173,0
081516,Oristà,195,0,0,46,241,0
081521,Orpí,62,27,17,44,106,0
081537,Òrrius,253,78,0,105,358,0
251569,Os de Balaguer,353,206,116,322,675,1
171169,Osor,199,90,44,134,333,0
251575,Ossó de Sió,88,74,48,122,210,0
081542,Pacs del Penedès,276,0,0,86,362,1
081555,Palafolls,3438,315,485,800,4238,2
171175,Palafrugell,8349,7179,1527,8706,17055,8
171181,Palamós,7358,3841,795,4636,11994,3
251581,"Palau d'Anglesola, el",801,0,60,96,897,1
171194,Palau de Santa Eulàlia,44,24,0,27,71,0
171215,Palau-sator,98,106,22,128,226,0
171208,Palau-saverdera,576,194,0,218,794,1
081568,Palau-solità i Plegamans,4897,0,521,900,5797,1
431009,"Pallaresos, els",1516,0,0,270,1786,0
081574,Pallejà,4147,332,315,647,4794,7
430995,"Palma d'Ebre, la",174,88,45,133,307,0
089058,"Palma de Cervelló, la",1087,0,0,200,1287,1
171236,Palol de Revardit,169,0,0,14,183,0
171241,Pals,1043,2632,383,3015,4058,0
081580,"Papiol, el",1470,0,203,358,1828,0
171254,Pardines,59,131,13,144,203,0
081593,Parets del Vallès,6888,0,417,661,7549,0
171267,Parlavà,160,66,0,80,240,0
431016,Passanant i Belltall,93,117,43,160,253,0
171289,Pau,207,60,0,73,280,0
431021,Paüls,214,0,0,44,258,0
171292,Pedret i Marzà,64,0,0,9,73,0
251641,Penelles,192,19,0,36,228,1
171306,"Pera, la",167,68,0,88,255,0
081607,Perafita,159,76,0,81,240,0
431037,Perafort,473,0,28,29,502,0
171328,Peralada,685,0,19,37,722,0
251654,Peramola,159,0,0,180,339,3
431042,"Perelló, el",1271,0,376,458,1729,0
081614,Piera,5368,3187,1569,4756,10124,9
431055,"Piles, les",90,85,0,92,182,0
081635,Pineda de Mar,10390,4541,1424,5965,16355,5
431068,"Pinell de Brai, el",400,94,98,192,592,0
251667,Pinell de Solsonès,80,0,0,74,154,0
251673,Pinós,91,27,15,42,133,0
431074,Pira,182,99,0,132,314,0
431080,"Pla de Santa Maria, el",928,260,168,428,1356,0
081640,"Pla del Penedès, el",472,77,204,281,753,0
171334,"Planes d'Hostoles, les",679,103,149,252,931,0
171349,Planoles,125,441,43,484,609,1
259118,"Plans de Sió, els",237,67,26,93,330,0
251689,"Poal, el",239,0,0,24,263,0
251692,"Pobla de Cérvoles, la",104,164,0,180,284,0
081653,"Pobla de Claramunt, la",816,0,278,288,1104,0
081666,"Pobla de Lillet, la",529,305,266,571,1100,1
431093,"Pobla de Mafumet, la",1050,0,195,233,1283,0
431107,"Pobla de Massaluca, la",153,64,43,107,260,0
431114,"Pobla de Montornès, la",1184,290,162,452,1636,0
251713,"Pobla de Segur, la",1387,522,278,800,2187,4
431129,Poboleda,158,237,0,255,413,0
081672,Polinyà,3002,0,0,210,3212,1
431135,"Pont d'Armentera, el",254,99,77,176,430,0
250306,"Pont de Bar, el",77,107,30,137,214,1
171352,Pont de Molins,220,0,0,19,239,0
251734,"Pont de Suert, el",1056,375,292,667,1723,8
081825,"Pont de Vilomara i Rocafort, el",1381,269,249,518,1899,0
431418,Pontils,58,114,14,128,186,0
081688,Pontons,206,150,186,336,542,0
171365,Pontós,100,31,0,47,147,0
251728,Ponts,1055,0,642,785,1840,3
171371,Porqueres,1561,0,0,94,1655,0
431140,Porrera,190,53,75,128,318,0
171404,"Port de la Selva, el",461,1441,190,1631,2092,3
