Codi,Literal,Habitatges familiars  principals  convencionals,Habitatges familiars  principals  allotjaments,Habitatges familiars  no principals  secundaris,Habitatges familiars  no principals  vacants,Habitatges familiars  no principals  altres,Habitatges familiars    total,Establiments col·lectius
251497,Oliana,644,0,225,108,0,977,1
251500,Oliola,78,0,35,29,0,142,0
251517,Olius,181,0,123,15,1,320,0
081483,Olivella,558,0,213,116,0,887,1
081496,Olost,399,0,108,152,0,659,0
171143,Olot,10399,0,507,2532,214,13652,6
251522,"Oluges, les",66,0,28,4,0,98,0
081445,Olvan,324,0,46,82,7,459,0
251538,"Omellons, els",92,0,26,18,0,136,0
251543,"Omells de na Gaia, els",60,0,95,18,0,173,0
171156,Ordis,116,0,41,32,0,189,0
251556,Organyà,379,0,172,148,4,703,0
081509,Orís,73,0,13,24,0,110,0
081516,Oristà,188,0,5,56,0,249,0
081521,Orpí,51,0,28,4,2,85,0
081537,Òrrius,164,0,106,14,0,284,0
251569,Os de Balaguer,286,0,205,42,0,533,3
171169,Osor,78,0,61,56,3,198,0
251575,Ossó de Sió,76,0,53,0,0,129,0
081542,Pacs del Penedès,230,0,35,34,0,299,0
081555,Palafolls,1996,0,511,144,6,2657,3
171175,Palafrugell,6566,2,7628,989,31,15216,5
171181,Palamós,5473,0,2105,2998,41,10617,5
251581,"Palau d'Anglesola, el",572,0,29,95,0,696,0
171194,Palau de Santa Eulàlia,33,0,42,0,0,75,0
171215,Palau-sator,103,1,67,18,0,189,0
171208,Palau-saverdera,331,0,261,34,2,628,1
081568,Palau-solità i Plegamans,3681,0,1036,219,23,4959,1
431009,"Pallaresos, els",895,0,327,50,3,1275,0
081574,Pallejà,2856,0,641,456,166,4119,7
430995,"Palma d'Ebre, la",154,0,87,26,2,269,0
089058,"Palma de Cervelló, la",946,0,192,146,15,1299,1
171236,Palol de Revardit,108,0,31,7,5,151,1
171241,Pals,821,0,2096,152,3,3072,0
081580,"Papiol, el",1152,0,127,94,2,1375,1
