Codi,Literal,1,2,3,4,5,6 i més,Total llars
170911,Llanars,63,41,47,29,14,6,200
170926,Llançà,451,487,338,240,61,30,1607
251253,Llardecans,62,54,36,42,20,10,224
251266,Llavorsí,39,38,25,19,1,2,124
251207,Lleida,8277,10751,9351,8319,2586,1164,40448
170932,Llers,58,104,76,76,28,11,353
251272,Lles de Cerdanya,31,25,19,20,7,4,106
81075,Lliçà d'Amunt,395,849,794,888,328,144,3398
81081,Lliçà de Vall,171,376,446,496,139,63,1691
251288,Llimiana,31,12,9,4,6,2,64
81069,Llinars del Vallès,404,635,598,575,187,81,2480
170947,Llívia,152,104,74,62,21,10,423
430727,"Lloar, el",12,17,12,5,1,1,48
251291,Llobera,8,8,8,9,9,13,55
430733,Llorac,11,13,8,6,5,2,45
430748,Llorenç del Penedès,105,147,109,131,47,27,566
170950,Lloret de Mar,1790,1907,1543,1469,467,252,7428
170963,"Llosses, les",32,17,20,20,6,3,98
81094,Lluçà,21,17,16,16,9,8,87
171024,Maçanet de Cabrenys,88,69,50,35,19,8,269
171030,Maçanet de la Selva,282,371,297,339,86,46,1421
170979,Madremanya,18,19,10,13,8,3,71
170985,Maià de Montcal,25,39,22,17,11,6,120
251333,Maials,87,78,84,50,25,21,345
251305,Maldà,39,32,18,14,9,2,114
81108,Malgrat de Mar,903,1525,1147,1078,293,157,5103
81115,Malla,5,7,15,11,9,12,59
81120,Manlleu,860,1592,1387,1352,414,264,5869
81136,Manresa,5284,7348,5514,4377,1176,529,24228
430764,Marçà,72,76,49,51,7,1,256
430751,Margalef,20,11,6,10,3,3,53
82423,Marganell,28,29,11,12,3,3,86
81141,Martorell,1282,2471,1947,1694,457,247,8098
81154,Martorelles,290,416,407,423,120,42,1698
430770,Mas de Barberans,52,58,46,54,16,13,239
171002,Masarac,15,19,15,16,9,5,79
430786,Masdenverge,43,96,67,84,18,14,322
81167,"Masies de Roda, les",23,67,39,63,21,12,225
81173,"Masies de Voltregà, les",118,249,255,234,62,37,955
430799,Masllorenç,43,60,28,21,8,9,169
81189,"Masnou, el",1374,1994,1777,1599,453,178,7375
430803,"Masó, la",14,25,24,17,9,5,94
430810,Maspujols,40,45,39,39,12,5,180
81192,Masquefa,329,618,459,410,117,49,1982
430825,"Masroig, el",59,64,41,23,13,8,208
251312,Massalcoreig,27,47,38,34,24,17,187
171019,Massanes,59,51,35,36,15,12,208
251327,Massoteres,18,19,9,10,6,5,67
81206,Matadepera,201,385,463,613,267,147,2076
81213,Mataró,7046,10534,8623,8203,2362,1082,37850
81228,Mediona,174,182,94,89,36,20,595
251348,Menàrguens,65,79,54,49,33,12,292
170998,Meranges,17,7,5,1,1,4,35
171058,Mieres,21,32,17,18,13,7,108
430831,"Milà, el",11,11,9,11,8,3,53
251351,Miralcamp,72,94,82,76,37,31,392
430846,Miravet,68,76,52,50,26,10,282
81385,Moià,316,393,346,342,88,49,1534
430859,"Molar, el",28,32,24,14,10,4,112
81234,Molins de Rei,1342,2117,1719,1520,429,243,7370
251370,Mollerussa,601,860,802,743,268,138,3412
171061,Mollet de Peralada,18,23,14,7,1,7,70
81249,Mollet del Vallès,2720,4804,4251,3672,922,411,16780
171077,Molló,34,35,19,22,13,3,126
251364,"Molsosa, la",2,6,6,2,4,11,31
81287,Monistrol de Calders,37,56,42,54,18,5,212
81271,Monistrol de Montserrat,222,252,210,154,53,28,919
171096,Montagut i Oix,63,85,66,50,24,12,300
430862,Montblanc,430,525,532,440,156,66,2149
430884,Montbrió del Camp,125,153,93,110,41,22,544
81252,Montcada i Reixac,1567,2877,2314,2350,642,217,9967
81304,Montclar,5,7,3,7,3,7,32
251399,Montellà i Martinet,78,56,41,25,12,8,220
81311,Montesquiu,84,92,67,56,13,8,320
251403,Montferrer i Castellbò,73,72,43,40,20,19,267
430897,Montferri,16,18,10,8,9,0,61
251386,Montgai,74,60,52,46,25,22,279
81265,Montgat,590,852,712,653,172,65,3044
81326,Montmajor,19,39,15,28,17,19,137
81332,Montmaneu,13,13,10,16,5,3,60
430901,"Montmell, el",87,90,40,46,14,12,289
81350,Montmeló,419,772,682,745,225,71,2914
251425,Montoliu de Lleida,26,38,28,28,14,15,149
251410,Montoliu de Segarra,26,22,8,6,6,3,71
251431,Montornès de Segarra,13,7,7,6,2,3,38
81363,Montornès del Vallès,705,1209,1048,1027,289,161,4439
430918,Mont-ral,28,17,11,7,1,3,67
171100,Mont-ras,66,100,120,157,55,22,520
430923,Mont-roig del Camp,697,749,534,411,166,72,2629
81379,Montseny,24,18,13,22,10,8,95
430939,Móra d'Ebre,292,393,367,351,125,51,1579
430944,Móra la Nova,210,258,207,217,82,32,1006
430957,"Morell, el",129,194,178,181,69,33,784
430960,"Morera de Montsant, la",20,16,12,6,6,1,61
81290,Muntanyola,28,29,30,30,5,3,125
81398,Mura,29,24,13,13,8,0,87
251459,Nalec,11,7,3,7,3,4,35
250254,Naut Aran,173,107,79,97,39,34,529
81402,Navarcles,244,479,448,442,128,57,1798
81419,Navàs,345,523,501,374,130,59,1932
