Municipi,2010,2011,2012,2013,2014,2015,2016,2017,2018
Granollers,972118,44541.0,47334.0,47408.0,46222.0,53737.0,55743.0,55017.0,55017.0
Gualba,21143,15976.0,15016.0,14149.0,14052.0,14171.0,14912.0,15641.0,15641.0
Guissona,90315,3961498.0,3738706.0,3751953.0,3866413.0,3883311.0,3905128.0,4008695.0,4008695.0
Gurb,44744,39913.0,39393.0,40259.0,42126.0,42761.0,42774.0,45818.0,45818.0
Horta de Sant Joan,15520,56740.0,55051.0,55748.0,57330.0,58108.0,63011.0,64282.0,64282.0
"Hospitalet de Llobregat, l'",3901921,627838.0,577110.0,578764.0,599624.0,621208.0,637073.0,657147.0,657147.0
"Hostalets de Pierola, els",39987,14870.0,15213.0,14970.0,14836.0,14201.0,15354.0,15320.0,15320.0
Hostalric,56879,23703.0,22701.0,22113.0,22879.0,21956.0,22645.0,22700.0,22700.0
Igualada,610026,36482.0,33539.0,33789.0,35500.0,37687.0,39710.0,45189.0,45189.0
Isona i Conca Dellà,15885,45257.0,44918.0,44120.0,45559.0,44706.0,46644.0,47111.0,47111.0
Ivars d'Urgell,23532,35892.0,34559.0,33865.0,34650.0,34106.0,35534.0,36028.0,36028.0
"Jonquera, la",37792,203564.0,192442.0,195724.0,201635.0,201636.0,200878.0,203366.0,203366.0
Juneda,46628,111404.0,108356.0,105862.0,111155.0,118473.0,119566.0,122938.0,122938.0
Linyola,36293,70165.0,64575.0,64806.0,64779.0,69276.0,70699.0,72745.0,72745.0
"Llagosta, la",196321,2090368.0,1963472.0,1968822.0,2033134.0,2114213.0,2166888.0,2237869.0,2237869.0
Llagostera,113601,17931.0,19618.0,17590.0,19577.0,20486.0,21162.0,21321.0,21321.0
Llançà,73347,247861.0,237254.0,241811.0,262600.0,257396.0,263453.0,273336.0,273336.0
Lleida,2152799,117244.0,114802.0,115742.0,118741.0,120437.0,127425.0,125748.0,125748.0
Llers,24520,148966.0,143186.0,143417.0,151279.0,155235.0,161040.0,166837.0,166837.0
Lliçà d'Amunt,241512,20708.0,19063.0,18916.0,17701.0,19077.0,20341.0,22718.0,22718.0
Lliçà de Vall,115009,33576.0,31770.0,31857.0,32481.0,33371.0,34569.0,36517.0,36517.0
Llinars del Vallès,150159,395741.0,367527.0,374917.0,390721.0,406711.0,420401.0,442836.0,442836.0
Llívia,21131,84835.0,86258.0,87097.0,88891.0,90047.0,94135.0,97723.0,97723.0
Llorenç del Penedès,33751,259115.0,248557.0,249486.0,255797.0,260558.0,269801.0,278146.0,278146.0
Lloret de Mar,388745,293212.0,281398.0,270898.0,283046.0,298502.0,296154.0,309246.0,309246.0
Maçanet de la Selva,88784,1244586.0,1115608.0,1112538.0,1140541.0,1175412.0,1205915.0,1242066.0,1242066.0
Malgrat de Mar,254788,423623.0,398900.0,406291.0,419631.0,419105.0,423819.0,436464.0,436464.0
Manlleu,286120,82973.0,79265.0,79820.0,121705.0,81467.0,82617.0,87759.0,87759.0
Manresa,1218099,13673.0,13008.0,13007.0,13322.0,12772.0,13464.0,14360.0,14360.0
Martorell,413190,50757.0,49184.0,49882.0,51289.0,51245.0,52901.0,54140.0,54140.0
Martorelles,82344,430590.0,408001.0,422963.0,437351.0,440357.0,450522.0,465921.0,465921.0
Masdenverge,13285,129035.0,122133.0,123801.0,130564.0,128519.0,132576.0,141796.0,141796.0
"Masies de Voltregà, les",49838,225827.0,182886.0,190009.0,213420.0,238770.0,254643.0,124194.0,124194.0
"Masnou, el",436773,1808765.0,1680794.0,1690013.0,1750480.0,1858449.0,1893397.0,1961891.0,1961891.0
Masquefa,125625,31952.0,29417.0,31190.0,30421.0,32592.0,32135.0,33775.0,33775.0
Matadepera,215106,18711.0,18498.0,18269.0,18722.0,16968.0,17655.0,18441.0,18441.0
Mataró,1814726,87147.0,81102.0,81507.0,85006.0,85555.0,93981.0,96510.0,96510.0
Mediona,32952,470378.0,453234.0,462671.0,476167.0,477830.0,485975.0,493074.0,493074.0
Miralcamp,19113,198607.0,184050.0,184841.0,192091.0,201023.0,207863.0,217457.0,217457.0
Moià,87338,816337.0,775563.0,784328.0,817704.0,815541.0,811817.0,830235.0,830235.0
Molins de Rei,476846,44999.0,42337.0,43220.0,44371.0,45400.0,47165.0,48858.0,48858.0
Mollerussa,200028,111735.0,108163.0,109639.0,107138.0,113851.0,118118.0,121107.0,121107.0
Mollet del Vallès,810840,35865.0,35623.0,35708.0,37684.0,39363.0,39838.0,43967.0,43967.0
Monistrol de Montserrat,45546,542388.0,521185.0,529799.0,550121.0,545727.0,554553.0,573449.0,573449.0
Montblanc,112808,12627.0,12971.0,12651.0,13358.0,13085.0,13583.0,13384.0,13384.0
Montbrió del Camp,36617,201354.0,201231.0,205976.0,214714.0,215873.0,219968.0,223820.0,223820.0
Montcada i Reixac,536690,17438.0,16321.0,15435.0,15705.0,16629.0,17357.0,18506.0,18506.0
Montferrer i Castellbò,12924,144421.0,139003.0,138866.0,142320.0,140895.0,142585.0,144506.0,144506.0
Montgat,200290,245275.0,235384.0,235448.0,243913.0,248870.0,250593.0,261770.0,261770.0
"Montmell, el",17711,26958.0,25221.0,25354.0,28051.0,29108.0,30653.0,29798.0,29798.0
Montmeló,143738,150918.0,147986.0,145262.0,152148.0,148290.0,157960.0,165409.0,165409.0
Montornès del Vallès,242074,84342.0,78829.0,78527.0,80060.0,81171.0,81487.0,81609.0,81609.0
Mont-ras,26305,42377.0,40290.0,40337.0,40504.0,40559.0,41677.0,42194.0,42194.0
Mont-roig del Camp,157250,51990.0,51032.0,51114.0,52981.0,52791.0,54466.0,57943.0,57943.0
Móra d'Ebre,82855,22685.0,22543.0,22023.0,22243.0,23620.0,26378.0,28633.0,28633.0
Móra la Nova,42368,94730.0,91074.0,92446.0,94330.0,97775.0,98217.0,102223.0,102223.0
"Morell, el",51496,99355.0,91213.0,92176.0,93591.0,94455.0,98049.0,99411.0,99411.0
Naut Aran,22889,18529.0,17926.0,18565.0,19140.0,20244.0,22230.0,23343.0,23343.0
Navarcles,92885,54836.0,50605.0,51043.0,54257.0,53464.0,55705.0,57829.0,57829.0
Navàs,95042,58744.0,53927.0,54790.0,55002.0,57653.0,59065.0,60184.0,60184.0
Navata,18501,27977.0,27456.0,27586.0,28666.0,27938.0,29698.0,30757.0,30757.0
Òdena,54470,376632.0,355900.0,357714.0,372601.0,374192.0,380301.0,392075.0,392075.0
Olèrdola,57623,28401.0,26495.0,26838.0,27472.0,26955.0,28067.0,28241.0,28241.0
Olesa de Bonesvalls,27717,54101.0,53827.0,55416.0,63006.0,61058.0,61771.0,65206.0,65206.0
Olesa de Montserrat,369068,18927.0,18320.0,18118.0,18930.0,18582.0,19590.0,20446.0,20446.0
Oliana,28062,522561.0,489241.0,492704.0,509794.0,527619.0,548929.0,566223.0,566223.0
Olivella,54261,127147.0,121154.0,123324.0,128545.0,132253.0,135343.0,143867.0,143867.0
Olost,18759,288311.0,261029.0,259830.0,266386.0,276345.0,287432.0,307974.0,307974.0
Olot,513387,253628.0,237447.0,236202.0,244348.0,253033.0,263325.0,271225.0,271225.0
Os de Balaguer,0,31708.0,31135.0,30556.0,32082.0,32272.0,32293.0,33107.0,33107.0
