ine5,ine6,municipiNom,comarca,provincia,serveiTerritorial,risc,nivell,altura,cens,superficie,,ine5,Codi_ine_6_txt
25029,250292,Arbeca,Garrigues,Lleida,Lleida,sísmic,Recomanat,332,2278,58.39,,8071,80713
43015,430154,Arbolí,Baix Camp,Tarragona,Tarragona,incendi forestal,Obligat,714,123,20.9,,43048,430483
43015,430154,Arbolí,Baix Camp,Tarragona,Tarragona,nevades,Obligat,714,123,20.9,,8072,80728
43015,430154,Arbolí,Baix Camp,Tarragona,Tarragona,nuclear,Obligat,714,123,20.9,,25078,250788
43015,430154,Arbolí,Baix Camp,Tarragona,Tarragona,sísmic,Recomanat,714,123,20.9,,17057,170577
17009,170097,Arbúcies,Selva,Girona,Girona,nevades,Recomanat,291,6297,86.22,,8073,80734
17009,170097,Arbúcies,Selva,Girona,Girona,sísmic,Obligat,291,6297,86.22,,17056,170561
17009,170097,Arbúcies,Selva,Girona,Girona,incendi forestal,Obligat,291,6297,86.22,,43049,430496
17009,170097,Arbúcies,Selva,Girona,Girona,inundacions,Recomanat,291,6297,86.22,,43050,430509
8006,80060,Arenys de Mar,Maresme,Barcelona,Barcelona,inundacions,Obligat,10,15289,6.45,,17058,170583
8006,80060,Arenys de Mar,Maresme,Barcelona,Barcelona,contaminació marina,Obligat,10,15289,6.45,,17901,179011
8006,80060,Arenys de Mar,Maresme,Barcelona,Barcelona,sísmic,Obligat,10,15289,6.45,,8074,80749
8006,80060,Arenys de Mar,Maresme,Barcelona,Barcelona,incendi forestal,Obligat,10,15289,6.45,,25079,250791
8006,80060,Arenys de Mar,Maresme,Barcelona,Barcelona,transport ferroviari passatgers,Obligat,10,15289,6.45,,43051,430516
8006,80060,Arenys de Mar,Maresme,Barcelona,Barcelona,nevades,Recomanat,10,15289,6.45,,17060,170600
8007,80076,Arenys de Munt,Maresme,Barcelona,Barcelona,inundacions,Obligat,121,8736,20.73,,17061,170617
8007,80076,Arenys de Munt,Maresme,Barcelona,Barcelona,nevades,Recomanat,121,8736,20.73,,43901,439018
8007,80076,Arenys de Munt,Maresme,Barcelona,Barcelona,incendi forestal,Obligat,121,8736,20.73,,8075,80752
8007,80076,Arenys de Munt,Maresme,Barcelona,Barcelona,territori,Obligat,121,8736,20.73,,43053,430537
