,Municipi,Codi,Any,Total,Homes,Dones,0-14 Anys,15-64 Anys,64 o més,Índex d'envelliment,Índex de sobreenvelliment,Saldo migratori total,Immigracions,Emigracions,Aturats,Poblacio activa,Renda,Demanda,Habitatges familiars secundaris,Habitatges familiars vacants,Habitatges familiars altres,Habitatges familiars principals,De lloguer,De propietat,Serveis,Solar,Zones verdes,Equipament,Connectivitat,Densitat comercial,Hab Lloguer
105,Biure,172348,2000,217.0,0.4930875576036866,0.5069124423963134,0.0967741935483871,0.6543778801843319,0.2488479262672811,,,,,,,,,,,,,,,,,,,,,,0.0
106,Blancafort,430290,2000,379.0,0.5171503957783641,0.48284960422163586,0.12401055408970976,0.5224274406332454,0.35356200527704484,,,,,,,,,,,,,,,,,,,,,,0.0
107,Blanes,170237,2000,30441.0,0.5016917972471338,0.4983082027528662,0.15521829112052823,0.7039190565355934,0.14086265234387832,,,,,,,,,,,,,,,,,,,,,,0.0
108,Boadella i les Escaules,170293,2000,219.0,0.502283105022831,0.4977168949771689,0.1095890410958904,0.6484018264840182,0.2420091324200913,,,,,,,,,,,,,,,,,,,,,,0.0
109,Bolvir,170242,2000,284.0,0.5070422535211268,0.49295774647887325,0.10211267605633803,0.7253521126760564,0.17253521126760563,,,,,,,,,,,,,,,,,,,,,,0.0
110,Bonastre,430304,2000,319.0,0.5203761755485894,0.47962382445141066,0.109717868338558,0.5987460815047022,0.29153605015673983,,,,,,,,,,,,,,,,,,,,,,0.0
111,Bordils,170255,2000,1383.0,0.5039768618944324,0.4960231381055676,0.15039768618944324,0.6644974692697035,0.18510484454085321,,,,,,,,,,,,,,,,,,,,,,0.0
112,Borrassà,170268,2000,533.0,0.5028142589118199,0.4971857410881801,0.12570356472795496,0.6172607879924953,0.2570356472795497,,,,,,,,,,,,,,,,,,,,,,0.0
113,Borredà,80240,2000,485.0,0.5010309278350515,0.49896907216494846,0.12164948453608247,0.6288659793814433,0.24948453608247423,,,,,,,,,,,,,,,,,,,,,,0.0
114,Bossòst,250595,2000,866.0,0.5011547344110855,0.49884526558891457,0.15242494226327943,0.6581986143187067,0.18937644341801385,,,,,,,,,,,,,,,,,,,,,,0.0
115,Bot,430326,2000,830.0,0.5048192771084338,0.4951807228915663,0.08072289156626505,0.5746987951807229,0.344578313253012,,,,,,,,,,,,,,,,,,,,,,0.0
116,Botarell,430332,2000,624.0,0.5096153846153846,0.49038461538461536,0.14423076923076922,0.6858974358974359,0.16987179487179488,,,,,,,,,,,,,,,,,,,,,,0.0
117,Bovera,250560,2000,396.0,0.51010101010101,0.4898989898989899,0.06565656565656566,0.5732323232323232,0.3611111111111111,,,,,,,,,,,,,,,,,,,,,,0.0
118,Bràfim,430347,2000,573.0,0.4869109947643979,0.5130890052356021,0.07853403141361257,0.6335078534031413,0.2879581151832461,,,,,,,,,,,,,,,,,,,,,,0.0
