Municipi,Codi_ine_6_txt,Comarca,Àmbit territorial,Any,Població,Establiments,Superfície de venda (m2),Densitat comercial (est. / 1.000 hab.),Densitat comercial (m2 / 1.000 hab.),Superfície mitjana per establiment (m2),Percentatge d'establiments dintre de TUC,Percentatge de superfície de venda dintre de TUC,Percentatge d'establiments,Percentatge de superfície de venda,Altres,Automoció i carburants,Comerç mixt,Equipament llar,Equipament persona,Lleure i cultura,Quotidià alimentari (exc. vending),Quotidià no alimentari,Superfície Altres,Superfície Automoció i carburants,Superfície Comerç mixt,Superfície Equipament llar,Superfície Equipament persona,Superfície Lleure i cultura,Superfície Quotidià alimentari (exc. vending),Superfície Quotidià no alimentari
Nulles,430982,Alt Camp,Camp de Tarragona,2018,477,2,122,4.19,256,61,,,0.00002,0.000008,,,,,,,,,,,,,,,,
Odèn,251484,Solsonès,Comarques Centrals,2018,260,1,86,3.85,331,86,,,0.00001,0.000006,,,,,,,,,,,,,,,,
Òdena,81430,Anoia,Penedès,2018,3608,21,8405,5.82,2330,400,,,0.000207,0.000573,,,,,,,,,,,,,,,,
Ogassa,171122,Ripollès,Comarques Gironines,2018,226,1,1,4.42,4,1,,,0.00001,0,,,,,,,,,,,,,,,,
Olèrdola,81458,Alt Penedès,Penedès,2018,3611,61,23930,16.89,6627,392,0.1667,0.0423,0.000602,0.001631,,,,,,,,,,,,,,,,
Olesa de Bonesvalls,81461,Alt Penedès,Penedès,2018,1787,8,854,4.48,478,107,,,0.000079,0.000058,,,,,,,,,,,,,,,,
Olesa de Montserrat,81477,Baix Llobregat,Metropolità,2018,23779,271,31577,11.4,1328,117,0.9554,0.8191,0.002676,0.002153,17,12,12,36,50,18,112,14,1940,3911,4586,4233,3566,1454,10183,1704
Oliana,251497,Alt Urgell,Alt Pirineu i Aran,2018,1787,32,7482,17.91,4187,234,,,0.000316,0.00051,,,,,,,,,,,,,,,,
Oliola,251500,Noguera,Ponent,2018,202,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Olius,251517,Solsonès,Comarques Centrals,2018,961,6,2410,6.24,2508,402,,,0.000059,0.000164,,,,,,,,,,,,,,,,
Olivella,81483,Garraf,Penedès,2018,3729,16,1495,4.29,401,93,,,0.000158,0.000102,,,,,,,,,,,,,,,,
Olost,81496,Osona,Comarques Centrals,2018,1188,16,1088,13.47,916,68,,,0.000158,0.000074,,,,,,,,,,,,,,,,
Olot,171143,Garrotxa,Comarques Gironines,2018,34486,523,81039,15.17,2350,155,0.9332,0.8516,0.005164,0.005525,33,46,18,85,108,60,146,27,4503,13698,9572,15074,10151,6733,19329,1979
"Oluges, les",251522,Segarra,Ponent,2018,172,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Olvan,81445,Berguedà,Comarques Centrals,2018,837,13,3785,15.53,4522,291,,,0.000128,0.000258,,,,,,,,,,,,,,,,
"Omellons, els",251538,Garrigues,Ponent,2018,212,1,61,4.72,288,61,,,0.00001,0.000004,,,,,,,,,,,,,,,,
"Omells de na Gaia, els",251543,Urgell,Ponent,2018,134,1,382,7.46,2851,382,,,0.00001,0.000026,,,,,,,,,,,,,,,,
Ordis,171156,Alt Empordà,Comarques Gironines,2018,382,2,50,5.24,131,25,,,0.00002,0.000003,,,,,,,,,,,,,,,,
Organyà,251556,Alt Urgell,Alt Pirineu i Aran,2018,792,14,1136,17.68,1434,81,,,0.000138,0.000077,,,,,,,,,,,,,,,,
Orís,81509,Osona,Comarques Centrals,2018,310,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Oristà,81516,Osona,Comarques Centrals,2018,537,5,307,9.31,572,61,,,0.000049,0.000021,,,,,,,,,,,,,,,,
Orpí,81521,Anoia,Penedès,2018,136,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Òrrius,81537,Maresme,Metropolità,2018,730,4,213,5.48,292,53,,,0.000039,0.000015,,,,,,,,,,,,,,,,
Os de Balaguer,251569,Noguera,Ponent,2018,1009,9,719,8.92,713,80,,,0.000089,0.000049,,,,,,,,,,,,,,,,
Osor,171169,Selva,Comarques Gironines,2018,416,2,56,4.81,135,28,,,0.00002,0.000004,,,,,,,,,,,,,,,,
Ossó de Sió,251575,Urgell,Ponent,2018,205,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Pacs del Penedès,81542,Alt Penedès,Penedès,2018,908,3,727,3.3,801,242,,,0.00003,0.00005,,,,,,,,,,,,,,,,
Palafolls,81555,Maresme,Metropolità,2018,9256,81,12282,8.75,1327,152,0.6962,0.4776,0.0008,0.000837,,,,,,,,,,,,,,,,
Palafrugell,171175,Baix Empordà,Comarques Gironines,2018,22860,390,58459,17.06,2557,150,0.8368,0.6605,0.003851,0.003985,24,31,19,71,80,34,100,31,2006,5519,7506,14105,6429,3392,16616,2886
